name,entity_type,coordinator,city,country
Adaptation Fund Board,Intergovernmental organizations,Mr. Mikko Antti Ollikainen,Washington DC,United States of America
African Centre of Meteorological Application for Development,Intergovernmental organizations,Ms. Safia Alfa,Niamey,Niger
African Development Bank Group,Intergovernmental organizations,Ms. Louise Helen Brown,Tunis,Tunisia
African Union Commission,Intergovernmental organizations,Mr. Harsen Nyambe Nyambe,Addis Ababa,Ethiopia
"African, Caribbean and Pacific Group of States",Intergovernmental organizations,Mr. Israel Olusola Ojo,Brussels,Belgium
Amazon Cooperation Treaty Organization,Intergovernmental organizations,Mr. Carlos Alfredo Lazary Teixeira,Brasilia,Brazil
Asian Development Bank,Intergovernmental organizations,Ms. Preety Malhotra Bhandari,Mandaluyong City,Philippines
Black Sea Trade and Development Bank,Intergovernmental organizations,Mr. Mircea Cojocaru,Thessaloniki,Greece
CAB International,Intergovernmental organizations,Mr. Jonathan Casey,Oxon,United Kingdom of Great Britain and Northern Ireland
Caribbean Community Climate Change Centre,Intergovernmental organizations,Ms. Ethlyn Valladares,Belmopan,Belize
Caribbean Community Secretariat,Intergovernmental organizations,Ms. Patricia Ann Nelson,Georgetown,Guyana
Caribbean Development Bank,Intergovernmental organizations,Ms. Cheryl Dixon,St. Michael,Barbados
Center for International Forestry Research,Intergovernmental organizations,Ms. Amy Duchelle,Bogor,Indonesia
Centro del Agua del Trópico Húmedo para América Latina y el Caribe,Intergovernmental organizations,Ms. Roxana Segundo,Ciudad de Panama,Panama
CGIAR System,Intergovernmental organizations,Mr. André Zandstra,Montpellier,France
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations,Mr. Philippe Zoungrana,Ouagadougou 03,Burkina Faso
Commonwealth Secretariat,Intergovernmental organizations,Mr. Unnikrishnan Divakaran Nair,London,United Kingdom of Great Britain and Northern Ireland
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations,Ms. Delphine Bremond,Gland,Switzerland
Cooperation Council for The Arab States of the Gulf,Intergovernmental organizations,Mr. Adel Bastaki,Riyadh,Saudi Arabia
Corporación Andina de Fomento,Intergovernmental organizations,Mr. Ubaldo Elizondo,Caracas,Venezuela (Bolivarian Republic of)
Council of Europe,Intergovernmental organizations,Ms. Marité Moras Rodriguez,Strasbourg,France
East African Community,Intergovernmental organizations,Mr. Ladislaus Leonidas Kyaruzi,Arusha,United Republic of Tanzania
Economic Community of Central Africa States,Intergovernmental organizations,,Libreville,Gabon
Economic Community of West African States,Intergovernmental organizations,Mr. Johnson Boanuh,Abuja,Nigeria
ECOWAS Regional Centre for Renewable Energy and Energy Efficiency,Intergovernmental organizations,Ms. Adeola Adebiyi,Praia,Cabo Verde
Energy Charter Conference,Intergovernmental organizations,Ms. Sarah Keay-Bright,Brussels,Belgium
European Bank for Reconstruction and Development,Intergovernmental organizations,Ms. Beatriz De Lorenzi,London,United Kingdom of Great Britain and Northern Ireland
European Forest Institute,Intergovernmental organizations,Mr. Jerker Brolén,Joensuu,Finland
European Investment Bank,Intergovernmental organizations,Mr. Ambroise Fayolle,Luxembourg,Luxembourg
European Patent Office,Intergovernmental organizations,Mr. Gerard Owens,Munich,Germany
European Space Agency,Intergovernmental organizations,Mr. Frank Martin Seifert,Paris,France
European University Institute,Intergovernmental organizations,Mr. Albert Ugo Alex Ferrari,"San Domenico di Fiesole, Florence",Italy
Global Green Growth Institute,Intergovernmental organizations,Mr. Yoon Suk Choi,Seoul,Republic of Korea
IGAD Climate Prediction and Applications Centre,Intergovernmental organizations,Mr. Artan Guleid,Nairobi,Kenya
Institut International du Froid,Intergovernmental organizations,Mr. Didier Coulomb,Paris,France
Inter-American Development Bank,Intergovernmental organizations,Mr. Graham George Watkins,Washington,United States of America
Inter-American Institute for Global Change Research,Intergovernmental organizations,Ms. Ione Anderson,Sao Jose dos Campos,Brazil
International Centre for Integrated Mountain Development,Intergovernmental organizations,Mr. Udayan Mishra,Kathmandu,Nepal
International Centre for Research in Agroforestry,Intergovernmental organizations,Mr. Peter Minang,Nairobi,Kenya
International Energy Agency,Intergovernmental organizations,Ms. Jinsun Lim,Paris,France
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations,Ms. Elaine Roxas Angeles,Geneva,Switzerland
International Network for Bamboo and Rattan,Intergovernmental organizations,Mr. Borja De La Peña Escardó,Beijing,China
International Potato Center,Intergovernmental organizations,Mr. Oscar Ortiz,Lima,Peru
International Renewable Energy Agency,Intergovernmental organizations,Ms. Elizabeth Press,Abu Dhabi,United Arab Emirates
"International Transport Forum, Organisation for Economic Co-operation and Development",Intergovernmental organizations,Ms. Wei-shiuen Ng,Paris,France
International Tropical Timber Organization,Intergovernmental organizations,Mr. Steven Johnson,Yokohama,Japan
International Union for Conservation of Nature,Intergovernmental organizations,Mr. Sandeep Sengupta,Gland,Switzerland
International Water Management Institute,Intergovernmental organizations,Ms. Rachael Andrea McDonnell,Battarmulla,Sri Lanka
Islamic Development Bank,Intergovernmental organizations,Mr. Olatunji Yusuf,Jeddah,Saudi Arabia
ITER International Fusion Energy Organization,Intergovernmental organizations,Ms. Sabina Griffith,Saint Paul les Durance,France
League of Arab States,Intergovernmental organizations,Ms. Fatma El-Mallah,Cairo,Egypt
Nordic Council,Intergovernmental organizations,Ms. Mette Gervin Damsgaard,Copenhagen,Denmark
Nordic Council of Ministers,Intergovernmental organizations,Ms. Anna Maria Gran,,Finland
Nordic Development Fund,Intergovernmental organizations,Ms. Leena Klossner,Helsinki,Finland
Nordic Environment Finance Corporation,Intergovernmental organizations,Ms. Helle Lindegaard,Helsinki,Finland
Nordic Investment Bank,Intergovernmental organizations,Mr. Jukka Ahonen,Helsinki,Finland
Observatoire du Sahara et du Sahel,Intergovernmental organizations,Mr. Nabil Ben Khatra,Tunis,Tunisia
OPEC Fund for International Development,Intergovernmental organizations,Mr. Mohammad Mazraati,Vienna,Austria
Organisation for Economic Co-operation and Development,Intergovernmental organizations,Ms. Wei-shiuen Ng,Paris,France
Organisation Internationale de la Francophonie,Intergovernmental organizations,Mr. Issa Bado,Quebec,Canada
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations,Mr. AbdulKareem Kh Ayed,Kuwait,Kuwait
Organization of the Petroleum Exporting Countries,Intergovernmental organizations,Ms. Eleni Kaditi,Vienna,Austria
Pacific Islands Forum Secretariat,Intergovernmental organizations,Mr. Scott Hook,Suva,Fiji
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations,Mr. Valerio Carafa,St. Julians,Malta
Permanent Court of Arbitration,Intergovernmental organizations,Ms. Judith Levine,The Hague,Netherlands
Permanent Secretariat of the Alpine Convention,Intergovernmental organizations,Ms. Nathalie Morelle,Innsbruck,Austria
Secrétariat général de l'union du Maghreb Arabe,Intergovernmental organizations,Mme Faouzia Chakiri,Rabat,Morocco
Secretariat of the Pacific Community,Intergovernmental organizations,Ms. Sylvie Michelle Goyet,Noumea,France
Secretariat of the Union for the Mediterranean,Intergovernmental organizations,Mr. Nasser Kamel,Barcelona,Spain
South Asia Co-operative Environment Programme,Intergovernmental organizations,Ms. Jacintha Silverine Tissera,Colombo 06,Sri Lanka
South Centre,Intergovernmental organizations,Mr. Luis Fernando Rosales,Geneva,Switzerland
Technical Centre for Agricultural and Rural Cooperation EU-ACP,Intergovernmental organizations,Mr. Oluyede Clifford Ajayi,Wageningen,Netherlands
The Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden,Intergovernmental organizations,Mr. Ziad Abu Gararah,Jeddah 21583,Saudi Arabia
Union Economique et Monétaire Ouest Africaine,Intergovernmental organizations,Mme Zourata Lompo Née Ouédraogo,Ouagadougou 01,Burkina Faso
University for Peace,Intergovernmental organizations,Sra. Maria Pia Carazo Ortiz,Ciudad Colón,Costa Rica