name,entity_type,TotalMembers,MaleMembers,FemaleMembers
Afghanistan,Parties,15,13,2
Albania,Parties,2,1,1
Algeria,Parties,26,16,10
Andorra,Parties,8,5,3
Angola,Parties,23,16,7
Antigua and Barbuda,Parties,13,6,7
Argentina,Parties,51,36,15
Armenia,Parties,9,4,5
Australia,Parties,21,8,13
Austria,Parties,36,19,17
Azerbaijan,Parties,5,5,0
Bahamas,Parties,9,5,4
Bahrain,Parties,9,7,2
Bangladesh,Parties,113,97,16
Barbados,Parties,6,5,1
Belarus,Parties,7,6,1
Belgium,Parties,41,29,12
Belize,Parties,27,14,13
Benin,Parties,51,38,13
Bhutan,Parties,32,20,12
Bolivia (Plurinational State of),Parties,3,1,2
Bosnia and Herzegovina,Parties,4,3,1
Botswana,Parties,26,11,15
Brazil,Parties,159,118,41
Brunei Darussalam,Parties,5,1,4
Bulgaria,Parties,13,3,10
Burkina Faso,Parties,43,41,2
Burundi,Parties,15,12,3
Cabo Verde,Parties,32,14,18
Cambodia,Parties,23,20,3
Cameroon,Parties,31,24,7
Canada,Parties,118,55,63
Central African Republic,Parties,8,7,1
Chad,Parties,23,21,2
Chile,Parties,117,68,49
China,Parties,66,45,21
Colombia,Parties,27,10,17
Comoros,Parties,8,7,1
Congo,Parties,84,68,16
Cook Islands,Parties,11,4,7
Costa Rica,Parties,47,17,30
Côte d'Ivoire,Parties,130,106,24
Croatia,Parties,26,11,15
Cuba,Parties,8,5,3
Cyprus,Parties,5,2,3
Czechia,Parties,35,20,15
Democratic People's Republic of Korea,Parties,3,1,2
Democratic Republic of the Congo,Parties,71,61,10
Denmark,Parties,46,23,23
Djibouti,Parties,6,5,1
Dominica,Parties,4,2,2
Dominican Republic,Parties,73,42,31
Ecuador,Parties,41,31,10
Egypt,Parties,28,19,9
El Salvador,Parties,12,7,5
Equatorial Guinea,Parties,30,25,5
Eritrea,Parties,3,3,0
Estonia,Parties,16,5,11
Eswatini,Parties,14,8,6
Ethiopia,Parties,42,33,9
European Union,Parties,128,75,53
Fiji,Parties,36,23,13
Finland,Parties,53,11,42
France,Parties,8,6,2
Gabon,Parties,2,2,0
Gambia,Parties,38,24,14
Georgia,Parties,12,7,5
Germany,Parties,101,55,46
Ghana,Parties,61,45,16
Greece,Parties,36,24,12
Grenada,Parties,12,8,4
Guatemala,Parties,37,23,14
Guinea,Parties,71,52,19
Guinea-Bissau,Parties,19,12,7
Guyana,Parties,5,3,2
Haiti,Parties,21,15,6
Honduras,Parties,72,49,23
Hungary,Parties,17,7,10
Iceland,Parties,7,3,4
India,Parties,36,24,12
Indonesia,Parties,142,91,51
Iran (Islamic Republic of),Parties,15,13,2
Iraq,Parties,41,29,12
Ireland,Parties,22,14,8
Israel,Parties,24,11,13
Italy,Parties,66,42,24
Jamaica,Parties,13,3,10
Japan,Parties,126,94,32
Jordan,Parties,6,5,1
Kazakhstan,Parties,18,13,5
Kenya,Parties,64,39,25
Kiribati,Parties,13,7,6
Kuwait,Parties,26,23,3
Kyrgyzstan,Parties,2,0,2
Lao People's Democratic Republic,Parties,9,7,2
Latvia,Parties,18,5,13
Lebanon,Parties,6,2,4
Lesotho,Parties,24,15,9
Liberia,Parties,34,24,10
Libya,Parties,5,5,0
Liechtenstein,Parties,4,1,3
Lithuania,Parties,7,2,5
Luxembourg,Parties,0,0,0
Madagascar,Parties,3,3,0
Malawi,Parties,40,29,11
Malaysia,Parties,20,12,8
Maldives,Parties,10,7,3
Mali,Parties,46,33,13
Malta,Parties,8,3,5
Marshall Islands,Parties,18,7,11
Mauritania,Parties,36,33,3
Mauritius,Parties,4,4,0
Mexico,Parties,26,11,15
Micronesia (Federated States of),Parties,14,7,7
Monaco,Parties,1,1,0
Mongolia,Parties,8,4,4
Montenegro,Parties,15,10,5
Morocco,Parties,68,58,10
Mozambique,Parties,37,22,15
Myanmar,Parties,20,12,8
Namibia,Parties,23,13,10
Nauru,Parties,17,13,4
Nepal,Parties,13,11,2
Netherlands,Parties,38,21,17
New Zealand,Parties,20,8,12
Nicaragua,Parties,9,8,1
Niger,Parties,36,26,10
Nigeria,Parties,53,40,13
Niue,Parties,6,2,4
North Macedonia,Parties,7,3,4
Norway,Parties,41,23,18
Oman,Parties,14,13,1
Pakistan,Parties,14,13,1
Palau,Parties,4,3,1
Panama,Parties,22,9,13
Papua New Guinea,Parties,28,16,12
Paraguay,Parties,35,25,10
Peru,Parties,65,33,32
Philippines,Parties,13,5,8
Poland,Parties,39,20,19
Portugal,Parties,80,46,34
Qatar,Parties,46,41,5
Republic of Korea,Parties,81,54,27
Republic of Moldova,Parties,5,2,3
Romania,Parties,16,5,11
Russian Federation,Parties,54,39,15
Rwanda,Parties,18,11,7
Saint Kitts and Nevis,Parties,8,4,4
Saint Lucia,Parties,11,3,8
Saint Vincent and the Grenadines,Parties,4,0,4
Samoa,Parties,13,6,7
Sao Tome and Principe,Parties,3,2,1
Saudi Arabia,Parties,36,30,6
Senegal,Parties,81,69,12
Serbia,Parties,18,7,11
Seychelles,Parties,31,15,16
Sierra Leone,Parties,19,17,2
Singapore,Parties,31,19,12
Slovakia,Parties,33,18,15
Slovenia,Parties,10,3,7
Solomon Islands,Parties,15,11,4
Somalia,Parties,3,2,1
South Africa,Parties,42,27,15
South Sudan,Parties,0,0,0
Spain,Parties,151,72,79
Sri Lanka,Parties,5,3,2
State of Palestine,Parties,13,10,3
Sudan,Parties,63,29,34
Suriname,Parties,9,4,5
Sweden,Parties,36,17,19
Switzerland,Parties,16,12,4
Syrian Arab Republic,Parties,1,0,1
Tajikistan,Parties,4,4,0
Thailand,Parties,73,31,42
Timor-Leste,Parties,14,11,3
Togo,Parties,32,23,9
Tonga,Parties,39,18,21
Trinidad and Tobago,Parties,5,2,3
Tunisia,Parties,65,42,23
Turkey,Parties,65,41,24
Turkmenistan,Parties,4,4,0
Tuvalu,Parties,17,9,8
Uganda,Parties,76,53,23
Ukraine,Parties,16,11,5
United Arab Emirates,Parties,74,39,35
United Kingdom of Great Britain and Northern Ireland,Parties,50,22,28
United Republic of Tanzania,Parties,26,16,10
United States of America,Parties,72,37,35
Uruguay,Parties,15,5,10
Uzbekistan,Parties,6,5,1
Vanuatu,Parties,16,11,5
Venezuela (Bolivarian Republic of),Parties,29,21,8
Viet Nam,Parties,52,33,19
Yemen,Parties,13,13,0
Zambia,Parties,11,9,2
Zimbabwe,Parties,68,39,29
Holy See,Observer States,7,6,1
United Nations Secretariat,United Nations Secretariat units and bodies,24,13,11
United Nations General Assembly,United Nations Secretariat units and bodies,7,4,3
Department of Economic and Social Affairs,United Nations Secretariat units and bodies,13,9,4
Economic and Social Commission for Asia and the Pacific,United Nations Secretariat units and bodies,2,1,1
Economic and Social Commission for Western Asia,United Nations Secretariat units and bodies,6,3,3
Economic Commission for Africa,United Nations Secretariat units and bodies,3,3,0
"Office of the High Representative for the Least Developed Countries, Landlocked Developing Countries and Small Island Developing States",United Nations Secretariat units and bodies,4,2,2
Office of the United Nations High Commissioner for Human Rights,United Nations Secretariat units and bodies,18,11,7
Office of the United Nations High Commissioner for Refugees,United Nations Secretariat units and bodies,8,1,7
Secretariat of the Convention on Biological Diversity,United Nations Secretariat units and bodies,2,0,2
Secretariat of the United Nations Convention to Combat Desertification,United Nations Secretariat units and bodies,4,3,1
United Nations Capital Development Fund,United Nations Secretariat units and bodies,5,3,2
United Nations Children’s Fund,United Nations Secretariat units and bodies,56,18,38
United Nations Conference on Trade and Development,United Nations Secretariat units and bodies,2,0,2
United Nations Department of Public Information,United Nations Secretariat units and bodies,1,1,0
United Nations Development Programme,United Nations Secretariat units and bodies,24,8,16
United Nations Economic Commission for Europe,United Nations Secretariat units and bodies,7,3,4
United Nations Economic Commission for Latin America and the Caribbean,United Nations Secretariat units and bodies,12,7,5
United Nations Entity for Gender Equality and the Empowerment of Women,United Nations Secretariat units and bodies,5,2,3
United Nations Environment Programme,United Nations Secretariat units and bodies,16,12,4
United Nations Human Settlements Programme,United Nations Secretariat units and bodies,22,11,11
United Nations Institute for Training and Research,United Nations Secretariat units and bodies,15,8,7
United Nations Office for Disaster Risk Reduction,United Nations Secretariat units and bodies,4,1,3
United Nations Office for Project Services,United Nations Secretariat units and bodies,14,5,9
United Nations Population Fund,United Nations Secretariat units and bodies,1,0,1
United Nations University - Institute for Environment and Human Security,United Nations Secretariat units and bodies,17,11,6
United Nations Volunteers,United Nations Secretariat units and bodies,1,0,1
World Food Programme,United Nations Secretariat units and bodies,13,4,9
Food and Agriculture Organization of the United Nations,Specialized agencies and related organizations,21,11,10
Global Environment Facility,Specialized agencies and related organizations,21,12,9
Green Climate Fund,Specialized agencies and related organizations,30,20,10
Intergovernmental Oceanographic Commission,Specialized agencies and related organizations,17,11,6
International Atomic Energy Agency,Specialized agencies and related organizations,11,8,3
International Civil Aviation Organization,Specialized agencies and related organizations,3,2,1
International Fund for Agricultural Development,Specialized agencies and related organizations,8,5,3
International Labour Organization,Specialized agencies and related organizations,23,7,16
International Maritime Organization,Specialized agencies and related organizations,3,3,0
International Monetary Fund,Specialized agencies and related organizations,4,2,2
International Organization for Migration,Specialized agencies and related organizations,3,0,3
International Telecommunication Union,Specialized agencies and related organizations,7,6,1
"United Nations Educational, Scientific and Cultural Organization",Specialized agencies and related organizations,14,8,6
United Nations Global Compact,Specialized agencies and related organizations,15,7,8
United Nations Industrial Development Organization,Specialized agencies and related organizations,11,7,4
WMO/UNEP Intergovernmental Panel on Climate Change,Specialized agencies and related organizations,68,35,33
World Bank,Specialized agencies and related organizations,38,18,20
World Bank Group,Specialized agencies and related organizations,40,23,17
World Health Organization,Specialized agencies and related organizations,20,6,14
World Intellectual Property Organization,Specialized agencies and related organizations,2,2,0
World Meteorological Organization,Specialized agencies and related organizations,30,18,12
World Tourism Organization,Specialized agencies and related organizations,40,14,26
World Trade Organization,Specialized agencies and related organizations,2,2,0
Adaptation Fund Board,Intergovernmental organizations,11,4,7
African Centre of Meteorological Application for Development,Intergovernmental organizations,14,10,4
African Development Bank Group,Intergovernmental organizations,16,8,8
African Union Commission,Intergovernmental organizations,32,18,14
"African, Caribbean and Pacific Group of States",Intergovernmental organizations,4,2,2
Asian Development Bank,Intergovernmental organizations,10,7,3
Autorité de développement intégré de la région du Liptako-Gourma,Intergovernmental organizations,12,10,2
Banco Centroamericano de Integración Económica,Intergovernmental organizations,1,1,0
CAB International,Intergovernmental organizations,1,0,1
Caribbean Community Climate Change Centre,Intergovernmental organizations,9,4,5
Caribbean Community Secretariat,Intergovernmental organizations,2,1,1
Center for International Forestry Research,Intergovernmental organizations,16,6,10
CGIAR System Organization,Intergovernmental organizations,10,6,4
Comisión Centroamericana de Ambiente y Desarrollo,Intergovernmental organizations,5,4,1
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations,6,6,0
Commonwealth Secretariat,Intergovernmental organizations,11,5,6
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations,2,2,0
Corporación Andina de Fomento,Intergovernmental organizations,15,9,6
Council of Europe,Intergovernmental organizations,1,0,1
Council of Europe Development Bank,Intergovernmental organizations,1,0,1
East African Community,Intergovernmental organizations,1,1,0
Economic Community of Central African States,Intergovernmental organizations,4,3,1
Economic Community of West African States,Intergovernmental organizations,5,5,0
European Bank for Reconstruction and Development,Intergovernmental organizations,22,15,7
European Forest Institute,Intergovernmental organizations,4,2,2
European Investment Bank,Intergovernmental organizations,36,18,18
European Space Agency,Intergovernmental organizations,21,13,8
Fondo para el Desarrollo de los Pueblos Indígenas de América Latina y el Caribe,Intergovernmental organizations,4,1,3
Gas Exporting Countries Forum,Intergovernmental organizations,4,3,1
Global Green Growth Institute,Intergovernmental organizations,3,1,2
Global Water Partnership Organisation,Intergovernmental organizations,16,5,11
IGAD Climate Prediction and Applications Centre,Intergovernmental organizations,8,8,0
Institut International du Froid,Intergovernmental organizations,1,1,0
Instituto Interamericano de Cooperación para la Agricultura,Intergovernmental organizations,14,7,7
Integrated Carbon Observation System European Research Infrastructure Consortium,Intergovernmental organizations,3,3,0
Inter-American Development Bank,Intergovernmental organizations,50,27,23
Inter-Parliamentary Union,Intergovernmental organizations,3,0,3
International Center for Agricultural Research in the Dry Areas,Intergovernmental organizations,1,1,0
International Centre for Integrated Mountain Development,Intergovernmental organizations,7,4,3
International Centre for Research in Agroforestry,Intergovernmental organizations,12,8,4
International Cocoa Organization,Intergovernmental organizations,1,0,1
International Energy Agency,Intergovernmental organizations,19,10,9
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations,18,10,8
International Network for Bamboo and Rattan,Intergovernmental organizations,9,6,3
International Potato Center,Intergovernmental organizations,2,1,1
International Renewable Energy Agency,Intergovernmental organizations,15,6,9
International Rice Research Institute,Intergovernmental organizations,2,2,0
International Solar Alliance,Intergovernmental organizations,7,5,2
"International Transport Forum, Organisation for Economic Co-operation and Development",Intergovernmental organizations,12,5,7
International Tropical Timber Organization,Intergovernmental organizations,2,2,0
International Union for Conservation of Nature,Intergovernmental organizations,24,10,14
International Water Management Institute,Intergovernmental organizations,5,1,4
Islamic Development Bank,Intergovernmental organizations,8,8,0
League of Arab States,Intergovernmental organizations,2,2,0
Nordic Council,Intergovernmental organizations,4,2,2
Nordic Council of Ministers,Intergovernmental organizations,20,11,9
Nordic Environment Finance Corporation,Intergovernmental organizations,5,5,0
Observatoire du Sahara et du Sahel,Intergovernmental organizations,4,3,1
Organisation for Economic Co-operation and Development,Intergovernmental organizations,24,13,11
Organisation Internationale de la Francophonie,Intergovernmental organizations,1,1,0
Organization of American States,Intergovernmental organizations,2,1,1
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations,2,2,0
Organization of the Petroleum Exporting Countries,Intergovernmental organizations,4,3,1
Pacific Islands Forum Secretariat,Intergovernmental organizations,1,0,1
Pan African Agency of the Great Green Wall,Intergovernmental organizations,2,2,0
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations,4,2,2
Regional Center for Renewable Energy and Energy Efficiency,Intergovernmental organizations,1,0,1
Regional Community Forestry Training Center for Asia and the Pacific,Intergovernmental organizations,4,2,2
Secretaria General Iberoamericana,Intergovernmental organizations,7,3,4
Secrétariat général de l’union du Maghreb Arabe,Intergovernmental organizations,1,0,1
Secretariat of the Pacific Community,Intergovernmental organizations,7,5,2
Secretariat of the Union for the Mediterranean,Intergovernmental organizations,3,2,1
Technical Centre for Agricultural and Rural Cooperation EU-ACP,Non-governmental organizations,1,1,0
The European Organisation for the Exploitation of Meteorological Satellites,Non-governmental organizations,1,1,0
2° investing initiative (2°ii),Non-governmental organizations,2,1,1
A SEED Europe,Non-governmental organizations,3,0,3
A Sud Ecology and Cooperation - Onlus,Non-governmental organizations,4,1,3
Abibimman Foundation,Non-governmental organizations,6,5,1
Academy for Mountain Environics,Non-governmental organizations,2,0,2
ACT Alliance - Action by Churches Together,Non-governmental organizations,8,4,4
Action Planéterre,Non-governmental organizations,1,1,0
Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations,4,2,2
ActionAid International,Non-governmental organizations,5,2,3
Adelphi Research,Non-governmental organizations,5,3,2
"Advocates for the Environment, Inc.",Non-governmental organizations,1,1,0
Africa Centre for Citizens Orientation,Non-governmental organizations,3,2,1
Africa Youths International Development Foundation,Non-governmental organizations,3,2,1
African Centre for Technology Studies,Non-governmental organizations,4,2,2
African Climate Change Research Centre,Non-governmental organizations,14,11,3
African Forest Forum,Non-governmental organizations,2,0,2
African Wildlife Foundation,Non-governmental organizations,1,1,0
Agriconsulting S.p.A.,Non-governmental organizations,1,1,0
Air and Waste Management Association,Non-governmental organizations,3,2,1
All China Environment Federation,Non-governmental organizations,10,6,4
All India Women’s Conference,Non-governmental organizations,2,0,2
Alliance to Save Energy,Non-governmental organizations,4,1,3
Amazon Environmental Research Institute,Non-governmental organizations,3,2,1
Amazon Institute of People and the Environment,Non-governmental organizations,5,2,3
Amazon Watch,Non-governmental organizations,14,10,4
American Anthropological Association,Non-governmental organizations,7,1,6
American Chemical Society,Non-governmental organizations,8,4,4
American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,4,3,1
American Sustainable Business Council,Non-governmental organizations,6,6,0
American University,Non-governmental organizations,4,0,4
American University of Beirut,Non-governmental organizations,1,1,0
Amnesty International,Non-governmental organizations,6,3,3
An Organization for Socio-Economic Development,Non-governmental organizations,8,5,3
Antarctic and Southern Ocean Coalition,Non-governmental organizations,8,1,7
Architecture 2030 Inc.,Non-governmental organizations,2,0,2
Arizona State University,Non-governmental organizations,9,2,7
"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations,4,1,3
Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,11,5,6
"Asia Pacific Forum on Women, Law and Development",Non-governmental organizations,4,0,4
Asia-Europe Foundation,Non-governmental organizations,5,1,4
Asian Institute of Technology,Non-governmental organizations,3,2,1
Asian Pacific Resource and Resource Centre for Women,Non-governmental organizations,2,0,2
Asian Resource Foundation,Non-governmental organizations,3,1,2
Asociación AK Tenamit,Non-governmental organizations,5,4,1
Asociación Ambientalista SUSTENTA,Non-governmental organizations,2,2,0
Asociación Ambiente y Sociedad,Non-governmental organizations,4,0,4
Asociación Civil Oikos,Non-governmental organizations,1,0,1
Asociación Cluster de Industrias de Medio Ambiente de Euskadi,Non-governmental organizations,4,1,3
Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,2,2,0
Asociación Cubana de Producción Animal,Non-governmental organizations,1,0,1
Asociación Española de la Industria Eléctrica,Non-governmental organizations,17,11,6
Asociación Española del Gas,Non-governmental organizations,17,11,6
Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,5,1,4
Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,8,3,5
Asociación La Ruta del Clima,Non-governmental organizations,4,0,4
Asociación para la Investigación y Desarrollo Integral,Non-governmental organizations,2,1,1
Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,3,1,2
Asociación Proteger,Non-governmental organizations,4,1,3
Asociación Regional de Empresas de Petróleo y Gas Natural en Latinoamérica y el Caribe,Non-governmental organizations,2,1,1
Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations,1,1,0
Assemblée des Régions d’Europe,Non-governmental organizations,1,1,0
Assembly of First Nations,Non-governmental organizations,2,1,1
Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations,43,18,25
Association Climate-KIC,Non-governmental organizations,10,4,6
Association des Distributeurs Conditionneurs Récupérateurs Retraiteurs de Réfrigérants,Non-governmental organizations,2,2,0
Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations,4,4,0
Association des Femmes Peules et Peuples Autochtones du Tchad,Non-governmental organizations,1,1,0
Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,3,3,0
Association du Gharb pour la Protection de l’Environnement,Non-governmental organizations,2,2,0
Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations,9,4,5
Association Française des Entreprises pour l’Environnement,Non-governmental organizations,6,5,1
Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations,9,7,2
Association of American Geographers,Non-governmental organizations,10,3,7
Association of Overseas Countries and Territories of the European Union,Non-governmental organizations,1,1,0
Association of Sustainable Ecological Engineering Development,Non-governmental organizations,6,4,2
Ateneo de Manila University,Non-governmental organizations,4,2,2
atmosfair gGmbH,Non-governmental organizations,1,1,0
Australian Conservation Foundation,Non-governmental organizations,3,1,2
Australian Industry Greenhouse Network,Non-governmental organizations,2,1,1
Australian Industry Group,Non-governmental organizations,1,1,0
Australian National University,Non-governmental organizations,4,3,1
Australian Rainforest Conservation Society Inc.,Non-governmental organizations,1,1,0
Bangladesh Centre for Advanced Studies,Non-governmental organizations,3,2,1
Barcelona Centre for International Affairs,Non-governmental organizations,1,1,0
Basel Agency for Sustainable Energy,Non-governmental organizations,7,5,2
Basque Centre for Climate Change,Non-governmental organizations,3,2,1
Beijing Greenovation Hub for Public Welfare Development,Non-governmental organizations,6,3,3
Beijing NGO Association for International Exchanges,Non-governmental organizations,5,4,1
Bellona Foundation,Non-governmental organizations,20,14,6
BHP Billiton SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. doing business as International CCS Knowledge Centre,Non-governmental organizations,2,0,2
Biovision - Foundation for Ecological Development,Non-governmental organizations,3,3,0
BirdLife International,Non-governmental organizations,5,1,4
Boston University,Non-governmental organizations,11,5,6
Both ENDS Foundation,Non-governmental organizations,6,1,5
Boticário Group Foundation for Nature Protection,Non-governmental organizations,8,6,2
Brahma Kumaris World Spiritual University,Non-governmental organizations,8,3,5
Brazilian Biodiversity Fund,Non-governmental organizations,3,2,1
Brazilian Business Council for Sustainable Development,Non-governmental organizations,24,14,10
Brazilian Tree Industry,Non-governmental organizations,2,2,0
Bread for the World,Non-governmental organizations,8,3,5
"Brighter Green, Inc.",Non-governmental organizations,5,1,4
British Columbia Council for International Cooperation,Non-governmental organizations,6,1,5
Brown University - Watson Institute,Non-governmental organizations,3,1,2
Buddhist Tzu Chi Foundation,Non-governmental organizations,23,14,9
Buildings Performance Institute Europe A.S.B.L.,Non-governmental organizations,1,1,0
Business Council for Sustainable Energy,Non-governmental organizations,11,4,7
Business for Social Responsibility,Non-governmental organizations,10,5,5
Business Unity South Africa,Non-governmental organizations,3,1,2
BusinessEurope,Non-governmental organizations,17,13,4
C Team,Non-governmental organizations,6,2,4
C40 Cities Climate Leadership Group,Non-governmental organizations,15,6,9
"Ca’ Foscari University, Venice",Non-governmental organizations,7,2,5
"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Non-governmental organizations,9,6,3
Canadian Association of Petroleum Producers,Non-governmental organizations,3,2,1
Canadian Electricity Association,Non-governmental organizations,6,6,0
Canadian Foodgrains Bank Association Inc.,Non-governmental organizations,1,1,0
Canadian Hydrogen and Fuel Cell Association,Non-governmental organizations,2,2,0
Canadian Nuclear Association,Non-governmental organizations,3,3,0
Carbon Capture and Storage Association,Non-governmental organizations,3,1,2
Carbon Emission (Greenhouse Gas) Reduction and Control Association,Non-governmental organizations,5,4,1
Carbon Market Institute Limited,Non-governmental organizations,12,8,4
Carbon Market Watch - Centre of Development & Environment,Non-governmental organizations,10,3,7
Carbon Tracker Initiative Limited,Non-governmental organizations,4,3,1
CarbonCare InnoLab Limited,Non-governmental organizations,2,0,2
"Carbonfund.org Foundation, Inc.",Non-governmental organizations,2,2,0
"Care About Climate, Inc",Non-governmental organizations,25,7,18
CARE International,Non-governmental organizations,5,1,4
"Care of Creation, Inc.",Non-governmental organizations,2,1,1
Caritas Internationalis,Non-governmental organizations,6,3,3
Carnegie Council for Ethics in International Affairs Inc.,Non-governmental organizations,7,5,2
Carre Geo & Environnement,Non-governmental organizations,6,1,5
Catholic Rural Youth Movement Germany e.V.,Non-governmental organizations,8,4,4
Catholic Youth Network for Environmental Sustainability in Africa,Non-governmental organizations,4,2,2
CDP Worldwide,Non-governmental organizations,18,5,13
CEE Bankwatch Network,Non-governmental organizations,2,2,0
Center for Biological Diversity,Non-governmental organizations,5,2,3
Center for Carbon Removal,Non-governmental organizations,2,1,1
Center for Clean Air Policy,Non-governmental organizations,2,0,2
Center for Climate and Energy Solutions,Non-governmental organizations,8,5,3
"Center for Environmental Information, Inc.",Non-governmental organizations,1,0,1
Center for Indigenous Peoples’ Research and Development,Non-governmental organizations,5,1,4
Centre for International Climate and Environmental Research,Non-governmental organizations,4,2,2
Center for International Environmental Law,Non-governmental organizations,8,3,5
Center for Management and Strategic Studies,Non-governmental organizations,4,2,2
Center for Natural Resource Studies,Non-governmental organizations,4,4,0
Center for Participatory Research and Development,Non-governmental organizations,2,1,1
Center for Support of Indigenous Peoples of the North,Non-governmental organizations,4,2,2
Center of Life Institute,Non-governmental organizations,14,2,12
Central University of Finance and Economics,Non-governmental organizations,9,3,6
Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Non-governmental organizations,3,3,0
Centre de développement de la région de Tensift,Non-governmental organizations,6,6,0
Centre for 21st Century Issues,Non-governmental organizations,10,9,1
Centre for Climate Change and Environmental Studies,Non-governmental organizations,9,8,1
Centre for Environmental Justice,Non-governmental organizations,6,3,3
Centre for Human Rights and Climate Change Research,Non-governmental organizations,2,0,2
Centre for International Sustainable Development Law,Non-governmental organizations,15,4,11
Centre Hélios,Non-governmental organizations,5,4,1
Centre International de droit Comparé de l’Environnement,Non-governmental organizations,4,1,3
Centre International de Recherche sur l’Environnement et le Développement,Non-governmental organizations,2,2,0
Centre National de la Recherche Scientifique,Non-governmental organizations,2,1,1
Centro Alexander von Humboldt,Non-governmental organizations,11,6,5
Centro de Planificación y Estudio Social,Non-governmental organizations,5,2,3
Centro de Transporte Sustentable de México Asociacion Civil,Non-governmental organizations,2,1,1
Centro Internacional de Agricultura Tropical,Non-governmental organizations,6,5,1
Centro Mexicano de Derecho Ambiental,Non-governmental organizations,6,3,3
"Ceres, Inc.",Non-governmental organizations,8,5,3
Chamber of Commerce of the United States of America,Non-governmental organizations,1,1,0
Chant du Guépard dans le Désert,Non-governmental organizations,1,0,1
Chatham House,Non-governmental organizations,2,0,2
Children and Youth International,Non-governmental organizations,8,2,6
Children’s Investment Fund Foundation,Non-governmental organizations,1,0,1
China Association for NGO Cooperation,Non-governmental organizations,9,3,6
China Association for Science and Technology,Non-governmental organizations,9,6,3
China Dialogue Trust,Non-governmental organizations,3,1,2
China Green Carbon Foundation,Non-governmental organizations,10,9,1
China New Energy Chamber of Commerce,Non-governmental organizations,26,17,9
China Science and Technology Exchange Center,Non-governmental organizations,7,3,4
China South Low Carbon Academy,Non-governmental organizations,3,3,0
Chinese People’s Association for Friendship with Foreign Countries,Non-governmental organizations,2,1,1
CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations,1,0,1
Christian Aid,Non-governmental organizations,11,3,8
Christian Commission for Development in Bangladesh,Non-governmental organizations,2,2,0
Church’s Auxiliary for Social Action,Non-governmental organizations,5,5,0
Citizens Alliance for Saving the Atmosphere and the Earth,Non-governmental organizations,6,3,3
Citizens’ Climate Education Corp.,Non-governmental organizations,17,9,8
Civic Exchange,Non-governmental organizations,2,2,0
Civicus World Alliance for Citizen Participation,Non-governmental organizations,3,0,3
Clark University,Non-governmental organizations,7,3,4
"Clean Air Initiative for Asian Cities Center, Inc.",Non-governmental organizations,3,2,1
