name,entity_type,TotalMembers,MaleMembers,FemaleMembers
Clean Energy and Safe Environment Initiative,Non-governmental organizations,2,1,1
Clean Energy Nepal,Non-governmental organizations,1,1,0
ClientEarth,Non-governmental organizations,3,2,1
Climate Action Network - Europe,Non-governmental organizations,56,24,32
Climate Action Network - Latin America,Non-governmental organizations,58,28,30
Climate Action Network Australia,Non-governmental organizations,4,2,2
Climate Action Network Canada,Non-governmental organizations,19,8,11
Climate Action Network International,Non-governmental organizations,119,52,67
Climate Action Network South-East Asia,Non-governmental organizations,5,4,1
Climate Action Reserve,Non-governmental organizations,5,3,2
Climate Advisers Trust,Non-governmental organizations,3,2,1
Climate Aid Initiative,Non-governmental organizations,6,4,2
Climate Alliance (Klima-Bündnis),Non-governmental organizations,4,3,1
Climate Alliance Austria,Non-governmental organizations,4,2,2
Climate Alliance Italy,Non-governmental organizations,3,2,1
Climate Analytics GmbH,Non-governmental organizations,7,2,5
Climate and Health Alliance Inc.,Non-governmental organizations,4,0,4
Climate and Sustainable Development Network of Nigeria,Non-governmental organizations,7,7,0
Climate Chance Association,Non-governmental organizations,5,2,3
Climate Change Center,Non-governmental organizations,9,5,4
Climate Consortium Denmark,Non-governmental organizations,2,1,1
Climate Equity Reference Project Canada,Non-governmental organizations,5,2,3
Climate Generation: A Will Steger Legacy,Non-governmental organizations,4,1,3
Climate Justice Program,Non-governmental organizations,6,1,5
"Climate Leadership Council, Inc.",Non-governmental organizations,1,1,0
Climate Markets and Investment Association Limited,Non-governmental organizations,2,1,1
Climate Outreach Information Network,Non-governmental organizations,1,1,0
Climate Parliament,Non-governmental organizations,7,4,3
Climate Policy Center,Non-governmental organizations,8,4,4
"Climate Policy Initiative, Inc",Non-governmental organizations,6,2,4
Climate Strategies,Non-governmental organizations,3,1,2
Climate Tracker Incorporated,Non-governmental organizations,3,2,1
ClimateNet,Non-governmental organizations,5,5,0
Climatepolicy.net e.V.,Non-governmental organizations,12,9,3
CliMates,Non-governmental organizations,7,2,5
ClimateWorks Foundation,Non-governmental organizations,7,3,4
CO2GeoNet - The European Network of Excellence on Geological Storage of CO2,Non-governmental organizations,6,2,4
Coalition for Green Capital,Non-governmental organizations,4,2,2
Coastal Association for Social Transformation Trust,Non-governmental organizations,5,5,0
Coastal Development Partnership,Non-governmental organizations,2,2,0
College of Saint Benedict,Non-governmental organizations,12,0,12
College of the Atlantic,Non-governmental organizations,6,4,2
Colorado College,Non-governmental organizations,8,4,4
Colorado State University,Non-governmental organizations,6,1,5
Columbia University,Non-governmental organizations,7,5,2
Comité 21 / Club France Développement Durable,Non-governmental organizations,2,1,1
Comité Catholique contre la Faim et pour le Développement - Terre solidaire,Non-governmental organizations,2,1,1
Committee for a Constructive Tomorrow,Non-governmental organizations,4,4,0
Compassion in World Farming,Non-governmental organizations,1,1,0
Competitive Enterprise Institute,Non-governmental organizations,5,3,2
Confederación Española de Organizaciones Empresariales,Non-governmental organizations,22,13,9
Confederation of Danish Industry,Non-governmental organizations,3,3,0
Confederation of Indian Industry,Non-governmental organizations,2,1,1
Confédération Paysanne,Non-governmental organizations,1,1,0
Conférence des Régions Périphériques Maritimes d’Europe,Non-governmental organizations,3,3,0
Conseil de la Jeunesse de la Communauté Française de Belgique,Non-governmental organizations,0,0,0
Conseil des Communes et Régions d’Europe,Non-governmental organizations,4,2,2
Consejo Empresario Argentino para el Desarrollo Sostenible,Non-governmental organizations,2,1,1
Consejo Nacional para la Ética Pública,Non-governmental organizations,1,0,1
Conservation International,Non-governmental organizations,13,6,7
Cooperation Internationale pour le Développement et la Solidarité,Non-governmental organizations,9,4,5
Coopération pour le développement et l’amélioration des transports urbains et périurbains,Non-governmental organizations,3,3,0
Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations,4,2,2
Coordinadora de Organizaciones de Agricutores y Ganaderos,Non-governmental organizations,4,3,1
Coordinadora Rural de la Papa - Perú,Non-governmental organizations,3,1,2
Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations,7,5,2
"Corn Refiners Association, Inc.",Non-governmental organizations,4,2,2
Cornell University,Non-governmental organizations,10,5,5
Corporación Fiscalía del Medio Ambiente,Non-governmental organizations,2,1,1
Corporate Accountability International,Non-governmental organizations,6,2,4
Corporate Europe Observatory Foundation,Non-governmental organizations,11,4,7
"Council on Energy, Environment and Water",Non-governmental organizations,2,1,1
CropLife International,Non-governmental organizations,3,2,1
CUTS International,Non-governmental organizations,1,1,0
Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations,3,2,1
Danish Association of Consulting Engineers,Non-governmental organizations,1,1,0
Danish Energy Association,Non-governmental organizations,1,1,0
Danish Society of Engineers,Non-governmental organizations,4,2,2
Dartmouth College,Non-governmental organizations,12,5,7
David and Lucile Packard Foundation,Non-governmental organizations,2,1,1
David Suzuki Foundation,Non-governmental organizations,3,2,1
"Deep South Center for Environmental Justice, Inc.",Non-governmental organizations,7,3,4
Delta Electronics Foundation,Non-governmental organizations,10,1,9
Derecho Ambiente y Recursos Naturales,Non-governmental organizations,4,3,1
DesertNet International,Non-governmental organizations,1,0,1
Designated Operational Entities and Independent Entities Association,Non-governmental organizations,11,10,1
Deutsche Gesellschaft für Internationale Zusammenarbeit,Non-governmental organizations,33,16,17
Development Alternatives,Non-governmental organizations,5,2,3
Dharma Drum Mountain Buddhist Association,Non-governmental organizations,3,1,2
Diakonia,Non-governmental organizations,2,2,0
Dickinson College,Non-governmental organizations,4,1,3
Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,Non-governmental organizations,4,1,3
Dominicans for Justice and Peace,Non-governmental organizations,7,2,5
Drexel University,Non-governmental organizations,8,3,5
DRIS/Desarrollo Rural Sustentable,Non-governmental organizations,2,1,1
Duke University,Non-governmental organizations,12,6,6
Earth Child Institute,Non-governmental organizations,3,2,1
Earth Day Network,Non-governmental organizations,3,1,2
Earth Innovation Institute,Non-governmental organizations,12,8,4
"Earth Island Institute, Inc.",Non-governmental organizations,1,0,1
Earthjustice,Non-governmental organizations,1,1,0
Earthworks,Non-governmental organizations,2,1,1
Eberswalde University for Sustainable Development,Non-governmental organizations,6,1,5
EcoArts Connections,Non-governmental organizations,10,4,6
EcoClub,Non-governmental organizations,19,8,11
Ecole Nationale Supérieure des Mines de Paris,Non-governmental organizations,1,0,1
Ecole Normale Supérieure,Non-governmental organizations,3,2,1
Ecolo Info,Non-governmental organizations,4,1,3
Ecologic Institute,Non-governmental organizations,7,5,2
Ecologica Institute,Non-governmental organizations,3,2,1
Ecological Society of America,Non-governmental organizations,5,1,4
Ecology Center,Non-governmental organizations,6,3,3
Economic Justice Network of the Fellowship of Christian Councils of Southern Africa,Non-governmental organizations,4,3,1
Economic Research Institute for Northeast Asia,Non-governmental organizations,2,0,2
Ecumenical Advocacy Alliance,Non-governmental organizations,5,2,3
Edison Electric Institute,Non-governmental organizations,3,2,1
Electric Power Research Institute,Non-governmental organizations,1,1,0
Emory University,Non-governmental organizations,10,4,6
Energies 2050,Non-governmental organizations,5,4,1
Energy and Climate Intelligence Unit Limited,Non-governmental organizations,5,2,3
Energy and Climate Policy Institute for Just Transition,Non-governmental organizations,4,1,3
Energy Research Centre of the Netherlands,Non-governmental organizations,3,3,0
Energypedia UG,Non-governmental organizations,1,0,1
Environment-People-Law,Non-governmental organizations,2,1,1
Environmental and Energy Study Institute,Non-governmental organizations,5,0,5
Environmental Defence Canada Inc.,Non-governmental organizations,4,0,4
Environmental Defense Fund,Non-governmental organizations,16,6,10
Environmental Law Institute,Non-governmental organizations,5,1,4
Environmental Law Research Institute LTD/GTE,Non-governmental organizations,2,1,1
Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations,5,2,3
Environmental Quality Protection Foundation,Non-governmental organizations,3,2,1
Environnement et Developpement du Tiers-Monde,Non-governmental organizations,3,2,1
Environnement Jeunesse,Non-governmental organizations,9,4,5
Equiterre,Non-governmental organizations,3,1,2
"ETC Group (Action Group on Erosion, Technology and Concentration)",Non-governmental organizations,2,1,1
Euro Chambres,Non-governmental organizations,2,2,0
Euro-Mediterranean Center on Climate Change,Non-governmental organizations,3,1,2
European Association of Environmental and Resource Economists,Non-governmental organizations,4,2,2
European Business Council for Sustainable Energy,Non-governmental organizations,17,14,3
European Chemical Industry Council,Non-governmental organizations,4,2,2
European Climate Foundation,Non-governmental organizations,6,3,3
European Federation for Transport and Environment,Non-governmental organizations,1,1,0
European Network for Community-Led Initiatives on Climate Change and Sustainability,Non-governmental organizations,8,3,5
European Nuclear Society,Non-governmental organizations,9,5,4
European Partnership for Energy and the Environment,Non-governmental organizations,1,0,1
European Petroleum Refiners Association,Non-governmental organizations,1,1,0
European Round Table of Industrialists,Non-governmental organizations,1,1,0
European Union Chamber of Commerce in China,Non-governmental organizations,1,0,1
European Youth Forum,Non-governmental organizations,5,3,2
Evagelical Environmental Network,Non-governmental organizations,2,1,1
Evangelical Lutheran Church in America,Non-governmental organizations,12,5,7
Fachhochschule Muenster,Non-governmental organizations,2,1,1
Fairtrade Labelling Organizations International e.V.,Non-governmental organizations,2,1,1
Fauna & Flora International,Non-governmental organizations,3,1,2
Feasta Ltd,Non-governmental organizations,1,1,0
Federación de Pueblos Indígenas Kechwas de la Región de San Martín,Non-governmental organizations,1,1,0
Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations,6,4,2
Federación Regional Indígena Shawi de San Martín,Non-governmental organizations,4,1,3
Fédération Internationale des Ingénieurs-Conseils,Non-governmental organizations,3,2,1
"Federation of American Women’s Clubs Overseas, Inc.",Non-governmental organizations,1,0,1
Federation of Electric Power Companies,Non-governmental organizations,5,3,2
Federation of German Industries,Non-governmental organizations,8,5,3
Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations,4,1,3
Federation of Young European Greens,Non-governmental organizations,7,1,6
FERN,Non-governmental organizations,3,1,2
Fia Foundation for the Automobile and Society,Non-governmental organizations,2,0,2
Fondation BNP Paribas,Non-governmental organizations,7,2,5
Fondation Mohammed VI pour la Protection de l’Environnement,Non-governmental organizations,2,1,1
Fondazione Centro Studi Enel,Non-governmental organizations,3,3,0
Fondo de Promoción de la Areas Naturales Protegidas del Perú,Non-governmental organizations,1,0,1
Food & Water Watch,Non-governmental organizations,1,1,0
Ford Foundation,Non-governmental organizations,3,2,1
Forest Stewardship Council,Non-governmental organizations,4,3,1
Forest Trends Association,Non-governmental organizations,5,5,0
Forestry and Forest Products Research Institute,Non-governmental organizations,2,2,0
Forests of the World,Non-governmental organizations,4,3,1
Forests Philanthropy Action Network,Non-governmental organizations,1,1,0
Foro Ciudades para la Vida,Non-governmental organizations,1,0,1
Foro Soria 21 para el Desarrollo Sostenible,Non-governmental organizations,1,1,0
Forum Atomique Européen,Non-governmental organizations,7,5,2
Forum for Environment,Non-governmental organizations,1,1,0
Forum for Reforms and Entrepreneurship,Non-governmental organizations,5,3,2
FORUMCC Limited,Non-governmental organizations,4,0,4
Foundation 2¬∞,Non-governmental organizations,6,3,3
Foundation Environment - Law Society,Non-governmental organizations,2,2,0
Foundation for Environmental Education,Non-governmental organizations,7,3,4
Foundation for GAIA,Non-governmental organizations,5,4,1
Foundation for Promoting Personal Mobility and Ecological Transportation,Non-governmental organizations,3,3,0
Foundation for Sustainability,Non-governmental organizations,4,1,3
Foundation for the Rights of Future Generations,Non-governmental organizations,10,5,5
Foundation Myclimate The Climate Protection Partnership,Non-governmental organizations,2,2,0
Franciscans International,Non-governmental organizations,2,2,0
Frankfurt School of Finance and Management gGmbH,Non-governmental organizations,11,7,4
Freie Universität Berlin,Non-governmental organizations,2,1,1
Fresh Energy,Non-governmental organizations,1,0,1
Friedrich Schiller University Jena,Non-governmental organizations,4,2,2
Friedrich-Ebert-Stiftung e.V.,Non-governmental organizations,3,1,2
Friends of the Earth International,Non-governmental organizations,52,20,32
Friends World Committee for Consultation,Non-governmental organizations,5,2,3
Fundação Getúlio Vargas,Non-governmental organizations,6,0,6
Fundación Ambiente y Recursos Naturales,Non-governmental organizations,6,2,4
Fundación Amigos de la Naturaleza,Non-governmental organizations,3,0,3
Fundación Avina,Non-governmental organizations,7,3,4
Fundación Cayetano Heredia,Non-governmental organizations,1,0,1
Fundación de Iniciativas de Cambio Climático,Non-governmental organizations,1,0,1
Fundación Defensores de la Naturaleza,Non-governmental organizations,3,2,1
"Fundación Desarrollo Sustentable, A.C.",Non-governmental organizations,1,1,0
Fundación Despacio,Non-governmental organizations,4,2,2
Fundación Ecología y Desarrollo,Non-governmental organizations,6,3,3
Fundación Ecuatoriana de Estudios Ecológicos - EcoCiencia,Non-governmental organizations,1,0,1
Fundación Fondo Centroamericano de Mujeres,Non-governmental organizations,3,0,3
Fundación Futuro Latinoamericano,Non-governmental organizations,4,2,2
Fundacion MarViva,Non-governmental organizations,1,1,0
Fundación Nueva Cultura del Agua,Non-governmental organizations,1,1,0
Fundación para el Ecodesarrollo y la Conservación,Non-governmental organizations,3,0,3
Fundación para la Promoción del Conocimiento Indígena,Non-governmental organizations,10,5,5
Fundación PLENITUD,Non-governmental organizations,6,1,5
Fundación Privada Empresa y Clima,Non-governmental organizations,15,7,8
"Fundación Red Colombiana Para la Defensa de los Derechos Humanos, el Medio Ambiente y la Paz",Non-governmental organizations,18,3,15
Fundación TierraVida,Non-governmental organizations,11,3,8
Future Earth International,Non-governmental organizations,7,5,2
Gana Unnayan Kendra,Non-governmental organizations,4,2,2
GenderCC - Women for Climate Justice e.V.,Non-governmental organizations,42,5,37
Georgetown University,Non-governmental organizations,11,4,7
German Climate Association,Non-governmental organizations,4,1,3
German Climate Foundation,Non-governmental organizations,2,0,2
German Development Institute,Non-governmental organizations,3,1,2
German Emissions Trading Association,Non-governmental organizations,1,1,0
German Farmers’ Organization e.V.,Non-governmental organizations,3,3,0
Germanwatch,Non-governmental organizations,9,5,4
Gherush92 Committee for Human Rights,Non-governmental organizations,1,1,0
Global Alert for Defence of Youth and the Less Privileged,Non-governmental organizations,2,1,1
"Global Alliance for Incinerator Alternatives Philippines, Inc.",Non-governmental organizations,2,1,1
Global Canopy Programme,Non-governmental organizations,1,1,0
Global Carbon Capture and Storage Institute Ltd,Non-governmental organizations,7,3,4
Global Ecovillage Network,Non-governmental organizations,5,1,4
Global Energy Internet Development Cooperation Organization,Non-governmental organizations,6,5,1
Global Environment Centre,Non-governmental organizations,3,3,0
Global Environment Centre Foundation,Non-governmental organizations,4,2,2
Global Environmental Institute,Non-governmental organizations,7,3,4
Global Feedback Ltd,Non-governmental organizations,1,0,1
Global Footprint Network,Non-governmental organizations,1,1,0
Global Forest Coalition,Non-governmental organizations,8,3,5
Global Greens (Verts Mondiaux),Non-governmental organizations,4,3,1
Global Industrial and Social Progress Research Institute,Non-governmental organizations,3,3,0
"Global Justice Ecology Project, Inc.",Non-governmental organizations,1,0,1
"Global Kids, Inc.",Non-governmental organizations,5,1,4
Global Legislators Organisation for a Balanced Environment,Non-governmental organizations,2,2,0
Global Marshall Plan Foundation,Non-governmental organizations,13,8,5
Global Peace Initiative of Women,Non-governmental organizations,5,3,2
Global Sustainable Electricity Partnership,Non-governmental organizations,6,6,0
Global Voices,Non-governmental organizations,7,1,6
Global Wind Energy Council,Non-governmental organizations,4,3,1
"Global Youth Development Institute, Inc.",Non-governmental organizations,1,1,0
Governors’ Climate and Forests Fund,Non-governmental organizations,3,1,2
Grassroots Global Justice Alliance,Non-governmental organizations,7,2,5
Green Asia Network,Non-governmental organizations,4,3,1
Green Club,Non-governmental organizations,14,6,8
Green Course,Non-governmental organizations,2,1,1
Green Economics Institute,Non-governmental organizations,13,6,7
Green European Foundation,Non-governmental organizations,4,1,3
Green Institute Limited,Non-governmental organizations,3,2,1
Green Korea United,Non-governmental organizations,4,2,2
Green Planet,Non-governmental organizations,5,5,0
Green Zhejiang,Non-governmental organizations,1,0,1
Greener Impact International,Non-governmental organizations,4,3,1
GreenFacts ASBL,Non-governmental organizations,2,0,2
Greenhouse Gas Management Institute,Non-governmental organizations,5,2,3
Greenpeace International,Non-governmental organizations,79,36,43
Greenriver Environmental Protection Promotion Association of Sichuan,Non-governmental organizations,10,5,5
Griffith University,Non-governmental organizations,6,4,2
Griha Council,Non-governmental organizations,10,2,8
Groupe d’Études et de Recherches sur les Énergies Renouvelables et l’Environnement,Non-governmental organizations,4,4,0
Guangzhou County Yuexiu District Climate and Environmental Protection Center,Non-governmental organizations,4,1,3
Habitat International Coalition,Non-governmental organizations,4,2,2
Harvard University,Non-governmental organizations,7,5,2
Hashoo Foundation,Non-governmental organizations,1,1,0
HATOF Foundation,Non-governmental organizations,5,2,3
HCS Ltd.,Non-governmental organizations,3,1,2
Health and Environment Alliance,Non-governmental organizations,3,2,1
Health Care Without Harm,Non-governmental organizations,1,0,1
Health of Mother Earth Foundation,Non-governmental organizations,2,2,0
HEDA Resource Centre,Non-governmental organizations,5,3,2
Heinrich Böll Foundation,Non-governmental organizations,17,6,11
Helmholtz-Centre Geesthacht Centre for Materials and Coastal Research GmbH,Non-governmental organizations,6,1,5
Helvetas Swiss Intercooperation,Non-governmental organizations,2,1,1
Hong Kong People’s Council for Sustainable Development Limited,Non-governmental organizations,4,2,2
Huairou Commission Women Homes and Community,Non-governmental organizations,1,0,1
"Human Impacts Institute, Inc.",Non-governmental organizations,4,0,4
Human Rights and Environment Improvement Center,Non-governmental organizations,2,1,1
Human Rights Foundation of Aotearoa New Zealand,Non-governmental organizations,4,2,2
"Human Rights Watch, Inc.",Non-governmental organizations,1,1,0
Humane Society International,Non-governmental organizations,1,0,1
Humboldt-Viadrina Governance Platform gGmbH,Non-governmental organizations,5,3,2
I4CE - Institute for Climate Economics,Non-governmental organizations,4,3,1
ICLEI-Local Governments for Sustainability,Non-governmental organizations,69,32,37
Imperial College London,Non-governmental organizations,14,6,8
"Independent University, Bangladesh",Non-governmental organizations,10,4,6
India Water Foundation,Non-governmental organizations,1,1,0
Indiana University,Non-governmental organizations,8,2,6
Indigenous Environmental Network,Non-governmental organizations,3,2,1
Indigenous Information Network,Non-governmental organizations,5,0,5
Indigo Development and Change,Non-governmental organizations,2,1,1
Industrial Technology Research Institute,Non-governmental organizations,14,11,3
IndustriALL Global Union,Non-governmental organizations,3,3,0
Ingénieurs sans Frontières,Non-governmental organizations,1,0,1
Initiatives of Change International,Non-governmental organizations,3,1,2
Innovation Center for Energy and Transportation,Non-governmental organizations,5,1,4
Innovations Bleues,Non-governmental organizations,2,2,0
Institut du Développement Durable et des Relations Internationales,Non-governmental organizations,7,4,3
Institut Européen de l’Economie de la Fonctionnalité et de la Coopération,Non-governmental organizations,1,1,0
Institut National de la Recherche Agronomique,Non-governmental organizations,3,1,2
Institut Polytechnique de Grenoble,Non-governmental organizations,9,4,5
Institut Veolia,Non-governmental organizations,2,1,1
Institute de Recherche pour le D√©veloppement,Non-governmental organizations,4,3,1
Institute for Advanced Sustainability Studies,Non-governmental organizations,6,3,3
Institute for Agricultural and Forest Management and Certification,Non-governmental organizations,4,1,3
Institute for Agriculture and Trade Policy,Non-governmental organizations,2,0,2
Institute for Biodiversity Network e.V.,Non-governmental organizations,3,3,0
Institute for Climate and Sustainable Cities (iCSC).,Non-governmental organizations,3,3,0
"Institute for Climate Protection, Energy and Mobility - Law, Economics and Policy e.V.",Non-governmental organizations,5,4,1
Institute for Conservation and Sustainable Development of Amazonas,Non-governmental organizations,7,3,4
"Institute for Energy and Climate Strategies, Inc.",Non-governmental organizations,1,1,0
Institute for Environment and Development Sustainability,Non-governmental organizations,2,1,1
Institute for Environmental Security,Non-governmental organizations,2,2,0
Institute for Global Environmental Strategies,Non-governmental organizations,6,4,2
Institute for Governance and Sustainable Development,Non-governmental organizations,4,2,2
Institute for Public Policy Research,Non-governmental organizations,1,1,0
Institute for Social and Environmental Transition,Non-governmental organizations,1,0,1
Institute for Transportation and Development Policy,Non-governmental organizations,6,4,2
Institute of Development Studies,Non-governmental organizations,1,0,1
"Institute of Energy Economics, Japan",Non-governmental organizations,2,2,0
"Institute of Environment and Sustainable Development in Agriculture, Chinese Academy of Agricultural Science",Non-governmental organizations,6,3,3
Institutional Investors Group on Climate Change Ltd.,Non-governmental organizations,3,0,3
Instituto de Ecología y Antropología de Acción,Non-governmental organizations,3,2,1
Instituto Ethos de Empresas e Responsabilidade Social,Non-governmental organizations,3,2,1
Instituto Global Attitude,Non-governmental organizations,8,4,4
Instituto Internacional de Derecho y Medio Ambiente/International Institute for Law and the Environment,Non-governmental organizations,9,4,5
Instituto Torcuato Di Tella,Non-governmental organizations,1,1,0
"Intelligentsia International, Inc.",Non-governmental organizations,3,3,0
Interchurch Organization for Development Cooperation,Non-governmental organizations,5,4,1
InterEnvironment Institute,Non-governmental organizations,2,2,0
International Accreditation Forum Inc.,Non-governmental organizations,1,1,0
International Actuarial Association,Non-governmental organizations,1,1,0
International Air Transport Association,Non-governmental organizations,7,5,2
International Alliance of Indigenous and Tribal Peoples of the Tropical Forests,Non-governmental organizations,10,5,5
International Association for the Advancement of Innovative Approaches to Global Challenges,Non-governmental organizations,19,9,10
International Association of Oil and Gas Producers,Non-governmental organizations,1,0,1
International Association of Public Transport,Non-governmental organizations,2,2,0
International Chamber of Commerce,Non-governmental organizations,148,95,53
International Climate Dialogue e.V.,Non-governmental organizations,2,1,1
International Coastal and Ocean Organization,Non-governmental organizations,4,2,2
"International Copper Association, Ltd.",Non-governmental organizations,1,1,0
International Council for Sustainable Energy,Non-governmental organizations,10,7,3
International Council of Chemical Associations,Non-governmental organizations,5,2,3
International Council on Clean Transportation Inc.,Non-governmental organizations,1,1,0
International Cryosphere Climate Initiative,Non-governmental organizations,6,2,4
International Dairy Federation,Non-governmental organizations,3,2,1
International Development Research Centre,Non-governmental organizations,2,2,0
International Emissions Trading Association,Non-governmental organizations,128,88,40
International Environment and Economy Institute,Non-governmental organizations,1,0,1
International Environmental Communication Association,Non-governmental organizations,6,3,3
International Federation of Industrial Energy Consumers,Non-governmental organizations,1,0,1
International Federation of Liberal Youth,Non-governmental organizations,5,4,1
International Federation of Medical Students’ Associations,Non-governmental organizations,10,3,7
International Federation of Organic Agriculture Movements,Non-governmental organizations,5,3,2
International Fertilizer Association,Non-governmental organizations,6,4,2
International Forestry Students’ Association,Non-governmental organizations,10,2,8
International Forum on Globalization Inc.,Non-governmental organizations,3,1,2
International Foundation for African Children,Non-governmental organizations,5,4,1
International Gas Union,Non-governmental organizations,5,4,1
International Hydropower Association,Non-governmental organizations,5,3,2
International Indian Treaty Council,Non-governmental organizations,5,2,3
International Institute for Applied Systems Analysis,Non-governmental organizations,7,5,2
International Institute for Environment and Development,Non-governmental organizations,7,3,4
International Institute for Sustainable Development,Non-governmental organizations,11,4,7
International National Trusts Organisation,Non-governmental organizations,7,3,4
International Network for Sustainable Energy,Non-governmental organizations,5,3,2
International Network of Basin Organizations,Non-governmental organizations,2,2,0
International Network of Women Engineers and Scientists,Non-governmental organizations,6,0,6
International Organization for Standardization,Non-governmental organizations,4,3,1
International Organization of Employers,Non-governmental organizations,2,2,0
International Peatland Society,Non-governmental organizations,1,1,0
International Policy Network,Non-governmental organizations,2,1,1
International Society for Ecological Economics,Non-governmental organizations,5,5,0
International Society of Biometeorology,Non-governmental organizations,1,1,0
International Solar Energy Society e.V.,Non-governmental organizations,2,2,0
International Trade Union Confederation,Non-governmental organizations,134,88,46
International Union of Architects,Non-governmental organizations,3,1,2
International Union of Forest Research Organizations,Non-governmental organizations,2,1,1
International Union of Railways,Non-governmental organizations,3,2,1
International Work Group for Indigenous Affairs,Non-governmental organizations,5,1,4
International Youth and Student Movement for the United Nations,Non-governmental organizations,12,4,8
International- Lawyers.Org,Non-governmental organizations,4,1,3
Inuit Circumpolar Conference,Non-governmental organizations,6,2,4
IPIECA Limited (IPIECA),Non-governmental organizations,7,5,2
Islamic Relief Worldwide,Non-governmental organizations,4,3,1
"Islands First, Inc.",Non-governmental organizations,6,1,5
Israel Union for Environmental Defense,Non-governmental organizations,2,0,2
Italian Climate Network,Non-governmental organizations,12,3,9
Ithaca College,Non-governmental organizations,5,0,5
iuventum e.V.,Non-governmental organizations,5,4,1
Janvikas,Non-governmental organizations,1,1,0
"Japan Atomic Industrial Forum, Inc.",Non-governmental organizations,3,2,1
Japan Automobile Manufacturers Association Inc.,Non-governmental organizations,3,3,0
Japan Center for a Sustainable Environment and Society,Non-governmental organizations,2,1,1
Japan Economic Research Institute,Non-governmental organizations,3,0,3
Japan Environmental Council,Non-governmental organizations,1,0,1
Japan Federation of Bar Associations,Non-governmental organizations,2,1,1
Japan International Forestry Promotion and Cooperation Center,Non-governmental organizations,1,1,0
Japan Iron and Steel Federation,Non-governmental organizations,2,2,0
Jeunes Volontaires pour l’Environnement,Non-governmental organizations,7,3,4
Jeunesse Étudiante Catholique Internationale,Non-governmental organizations,8,5,3
"Jubilee South Asia Pacific Movement, Inc.",Non-governmental organizations,3,1,2
"Kadikoyu Friends of Science, Culture and Art Association",Non-governmental organizations,4,3,1
