name,entity_type,TotalMembers,MaleMembers,FemaleMembers
Kansai Economic Federation,Non-governmental organizations,1,0,1
Karnali Integrated Rural Development and Research Centre,Non-governmental organizations,4,4,0
Keidanren,Non-governmental organizations,25,23,2
Keio University,Non-governmental organizations,1,0,1
Kejibaus Youth Development Initiative,Non-governmental organizations,6,5,1
Keren Kayemet LeIsrael/The Jewish National Fund,Non-governmental organizations,1,1,0
KfW,Non-governmental organizations,9,6,3
Khazer Ecological and Cultural NGO,Non-governmental organizations,4,2,2
Kiko Network,Non-governmental organizations,13,5,8
KinderEnergy INC.,Non-governmental organizations,4,1,3
King Abdullah Petroleum Studies and Research Center,Non-governmental organizations,7,4,3
"King’s College, School of Law",Non-governmental organizations,2,1,1
Konrad-Adenauer-Foundation,Non-governmental organizations,1,1,0
Korea Chamber of Commerce and Industry,Non-governmental organizations,30,25,5
Korea Institute of Civil Engineering and Building Technology,Non-governmental organizations,1,0,1
Korean Business Council for Sustainable Development,Non-governmental organizations,8,7,1
"Krasnoyarsk Regional Public Ecological Movement ""Friends of the Siberian Forests""",Non-governmental organizations,3,1,2
Kyoto Club,Non-governmental organizations,2,1,1
"Kyoto University, Institute of Economic Research",Non-governmental organizations,4,4,0
LAYA,Non-governmental organizations,3,1,2
Leaders Club,Non-governmental organizations,4,3,1
Leadership for Environment and Development International,Non-governmental organizations,3,0,3
League of Women Voters of the United States,Non-governmental organizations,1,0,1
Legal Response Initiative,Non-governmental organizations,6,2,4
Legambiente - League of Environment,Non-governmental organizations,2,2,0
Libélula Instituto para el Cambio Global,Non-governmental organizations,3,2,1
Libyan Wildlife Trust,Non-governmental organizations,4,4,0
Life and Environment,Non-governmental organizations,5,2,3
LIFE e.V.,Non-governmental organizations,9,1,8
LINGO e.V.,Non-governmental organizations,2,1,1
Lombardy Foundation for the Environment / Fondazione Lombardia per l’Ambiente,Non-governmental organizations,6,5,1
London School of Economics and Political Science,Non-governmental organizations,8,4,4
Lund University,Non-governmental organizations,5,2,3
Lutheran World Federation,Non-governmental organizations,6,2,4
"Margaret Pyke Trust, with the Population & Sustainability Network",Non-governmental organizations,2,1,1
Marmara University,Non-governmental organizations,2,1,1
Maryknoll Fathers and Brothers,Non-governmental organizations,1,1,0
Maryknoll Sisters of Saint Dominic Inc.,Non-governmental organizations,1,0,1
Massachusetts Institute of Technology,Non-governmental organizations,17,8,9
Max Planck Society for the Advancement of Science e.V.,Non-governmental organizations,4,1,3
McGill University,Non-governmental organizations,1,1,0
Mediators Beyond Borders International,Non-governmental organizations,7,2,5
Mediterranean Protected Areas Network,Non-governmental organizations,2,1,1
Mercy Corps,Non-governmental organizations,4,0,4
Mercy International Association,Non-governmental organizations,2,0,2
Meridian Institute,Non-governmental organizations,4,3,1
Met Office Hadley Center,Non-governmental organizations,15,6,9
Michael Succow Foundation for the Protection of Nature,Non-governmental organizations,3,2,1
Michigan Technological University,Non-governmental organizations,9,5,4
Midwest Research Institute/National Renewable Energy Laboratory,Non-governmental organizations,1,1,0
"MISEREOR, German Catholic Bishops’ Organisation for Development Cooperation",Non-governmental organizations,4,2,2
Mom Loves Taiwan Association,Non-governmental organizations,9,3,6
Monash University,Non-governmental organizations,11,5,6
Moravian College,Non-governmental organizations,13,3,10
Mountain and Glacier Protection Organization,Non-governmental organizations,5,2,3
Mouvement International A.T.D Quart Monde,Non-governmental organizations,4,1,3
Movement Strategy Center,Non-governmental organizations,7,3,4
Movimiento Ciudadano frente al Cambio Climático,Non-governmental organizations,3,3,0
Munich Climate Insurance Initiative,Non-governmental organizations,8,3,5
Munich Re Foundation,Non-governmental organizations,2,2,0
"My Shelter Foundation, Inc.",Non-governmental organizations,6,2,4
National Association for the Advancement of Colored People,Non-governmental organizations,1,0,1
National Center for Climate Change Strategy and International Cooperation,Non-governmental organizations,1,0,1
National Concentrating Solar Power Association,Non-governmental organizations,1,0,1
"National Council for Climate Change, Sustainable Development and Public Leadership",Non-governmental organizations,3,3,0
National Institute for Environmental Studies,Non-governmental organizations,3,1,2
National Institute of Public Health and the Environment,Non-governmental organizations,2,2,0
National Research Council Nepal,Non-governmental organizations,2,2,0
National Rural Electric Cooperative Association,Non-governmental organizations,2,1,1
National Spiritual Assembly of the Baha'is of the United States,Non-governmental organizations,3,1,2
National University of Singapore,Non-governmental organizations,15,7,8
National Wildlife Federation,Non-governmental organizations,10,5,5
National Youth Achievement Award Association,Non-governmental organizations,2,1,1
Native American Rights Fund,Non-governmental organizations,3,3,0
Natural Resources Defense Council,Non-governmental organizations,10,5,5
Nature and Biodiversity Conservation Union,Non-governmental organizations,4,2,2
Naturefriends International,Non-governmental organizations,3,2,1
Near East Foundation,Non-governmental organizations,2,1,1
Neighbour Organization Nepal,Non-governmental organizations,9,7,2
Neongreen Network,Non-governmental organizations,3,1,2
Nepal Federation of Indigenous Nationalities,Non-governmental organizations,5,4,1
Network Peace Integration and Development,Non-governmental organizations,2,0,2
New Energy and Industrial Technology Development Organization,Non-governmental organizations,8,7,1
New Venture Fund,Non-governmental organizations,12,6,6
New York University,Non-governmental organizations,6,4,2
NFD Centre for Environment Education,Non-governmental organizations,7,2,5
NGO Center for Environmental Innovation,Non-governmental organizations,5,4,1
"NGO Centre of Environmental Initiatives ""Ecoaction""",Non-governmental organizations,5,3,2
"NGO Committee on the Status of Women, NY, Inc.",Non-governmental organizations,1,0,1
"NGO Ukrainian Ecological Club ""Green Wave""",Non-governmental organizations,2,1,1
Nigerian Conservation Foundation,Non-governmental organizations,2,2,0
Non-Timber Forest Products-Exchange Programme Incorporated,Non-governmental organizations,1,0,1
Nordic Folkecenter for Renewable Energy,Non-governmental organizations,7,3,4
Northeastern University,Non-governmental organizations,6,1,5
Norwegian Confederation of Trade Unions,Non-governmental organizations,5,3,2
Norwegian Forum for Environment and Development,Non-governmental organizations,13,7,6
Norwegian Refugee Council,Non-governmental organizations,3,1,2
Norwegian Society for the Conservation of Nature,Non-governmental organizations,5,1,4
Norwegian University of Life Sciences,Non-governmental organizations,2,1,1
Norwegian University of Science and Technology,Non-governmental organizations,3,2,1
Nuclear Information and Resource Service,Non-governmental organizations,2,1,1
Nurses Across the Borders,Non-governmental organizations,4,3,1
Observatoire méditerranéen de l’énergie,Non-governmental organizations,3,2,1
Observatoire pour la Protection de l’Environnement et des Monuments Historiques de Tanger,Non-governmental organizations,11,9,2
Oceana Inc.,Non-governmental organizations,4,2,2
Office International de la Viande,Non-governmental organizations,3,2,1
Oil Change International,Non-governmental organizations,7,3,4
One Sky - Canadian Institute of Sustainable Living,Non-governmental organizations,6,1,5
ONG Page Verte,Non-governmental organizations,1,1,0
OpenTeam,Non-governmental organizations,3,2,1
Organic Consumers Association,Non-governmental organizations,5,3,2
Organisation des Laics Engages du Sacré Coeur pour le Developpement de Kimbondo,Non-governmental organizations,1,1,0
Organisation pour le Respect de l’Environnement dans l’Entreprise,Non-governmental organizations,1,0,1
Organization for Poverty Alleviation and Development,Non-governmental organizations,1,1,0
Oro Verde - Tropical Forest Foundation,Non-governmental organizations,2,0,2
OSC Proyecto Musas A.C.,Non-governmental organizations,1,1,0
Ouranos,Non-governmental organizations,1,1,0
Overseas Development Institute,Non-governmental organizations,6,3,3
"Overseas Environmental Cooperation Center, Japan",Non-governmental organizations,7,3,4
OXFAM International,Non-governmental organizations,11,6,5
Oxford Climate Policy,Non-governmental organizations,3,2,1
P3 Foundation,Non-governmental organizations,2,1,1
PAIRVI Associates,Non-governmental organizations,3,3,0
Pan African Climate Justice Alliance,Non-governmental organizations,9,6,3
ParisTech,Non-governmental organizations,1,1,0
ParlAmericas,Non-governmental organizations,3,0,3
Partenariat Français pour l'Eau,Non-governmental organizations,3,0,3
Partnership for Observation of the Global Ocean,Non-governmental organizations,5,1,4
Parvati,Non-governmental organizations,2,0,2
Peace Boat Disaster Relief Volunteer Center,Non-governmental organizations,4,2,2
Pembina Institute for Appropriate Development,Non-governmental organizations,5,2,3
Pennsylvania Environmental Resource Consortium,Non-governmental organizations,3,1,2
People in Need,Non-governmental organizations,1,1,0
Peoples’ Forum 2001 GWRG,Non-governmental organizations,2,2,0
Perspectives Climate Research gGmbH,Non-governmental organizations,10,4,6
Pew Charitable Trusts,Non-governmental organizations,11,6,5
Plan International,Non-governmental organizations,10,3,7
Planète Amazone,Non-governmental organizations,2,2,0
Plant for the Planet Foundation,Non-governmental organizations,22,10,12
Plateforme Océan et Climat,Non-governmental organizations,3,1,2
Plymouth Marine Laboratory,Non-governmental organizations,5,0,5
Point Blue Conservation Science,Non-governmental organizations,3,2,1
Polish Ecological Club,Non-governmental organizations,4,1,3
Pompeu Fabra University,Non-governmental organizations,8,5,3
Potsdam Institute for Climate Impact Research,Non-governmental organizations,8,3,5
Practical Action,Non-governmental organizations,7,6,1
Prakriti Resources Centre,Non-governmental organizations,6,4,2
Presbyterian Church (U.S.A.),Non-governmental organizations,5,3,2
PRI Association,Non-governmental organizations,6,4,2
Pro-Natura International,Non-governmental organizations,13,8,5
"Programme for the Endorsement of Forest Certification Schemes, PEFC Council",Non-governmental organizations,3,2,1
Project Developer Forum Ltd.,Non-governmental organizations,14,10,4
"Pronatura Sur, A. C.",Non-governmental organizations,2,1,1
ProVeg Deutschland e.V.,Non-governmental organizations,2,1,1
Public Health Institute,Non-governmental organizations,1,0,1
Purdue University - Purdue Climate Change Research Center,Non-governmental organizations,3,0,3
PUSH Sweden,Non-governmental organizations,11,2,9
R20 - Regions of Climate Action,Non-governmental organizations,3,3,0
Rainforest Alliance,Non-governmental organizations,7,1,6
Rainforest Foundation Norway,Non-governmental organizations,9,3,6
Rainforest Partnership,Non-governmental organizations,9,3,6
Rare,Non-governmental organizations,4,2,2
Real Instituto Elcano,Non-governmental organizations,6,2,4
Reevaluation Foundation,Non-governmental organizations,19,5,14
Regeneration International,Non-governmental organizations,5,3,2
Regional Environmental Centre for Central Asia,Non-governmental organizations,3,1,2
"Regional Institute of Health, Medicine and Research",Non-governmental organizations,1,1,0
Regions4 for Sustainable Development,Non-governmental organizations,8,1,7
Remote Sensing Technology Center of Japan,Non-governmental organizations,4,3,1
Renewable Energy and Energy Efficiency Partnership,Non-governmental organizations,3,2,1
Renewable Energy Institute,Non-governmental organizations,10,2,8
Renewables Grid Initiative e.V.,Non-governmental organizations,1,0,1
Renmin University of China,Non-governmental organizations,6,3,3
REScoop.eu vzw,Non-governmental organizations,3,1,2
"Research and Development Centre, Nepal",Non-governmental organizations,3,3,0
Research Center for Eco-Environmental Sciences in Shanxi,Non-governmental organizations,6,0,6
Research Centre for Sustainable Development,Non-governmental organizations,12,4,8
Research Institute of Innovative Technology for the Earth,Non-governmental organizations,2,1,1
Réseau Action Climat - France,Non-governmental organizations,23,9,14
Réseau Français des Etudiants pour le Développement Durable,Non-governmental organizations,19,9,10
Resource Innovation Group,Non-governmental organizations,8,1,7
Resources for the Future,Non-governmental organizations,1,1,0
Responding to Climate Change,Non-governmental organizations,6,5,1
RESPONSE Charitable Trust,Non-governmental organizations,2,1,1
"Reusa Misión Planeta, A.C.",Non-governmental organizations,9,5,4
"Rights and Resources Institute, Inc.",Non-governmental organizations,2,2,0
Rio de Janeiro Environmental Exchange,Non-governmental organizations,2,1,1
Rock Environment and Energy Institute,Non-governmental organizations,5,2,3
"Rockefeller Brothers Fund, Inc.",Non-governmental organizations,3,1,2
"Rockefeller Philanthropy Advisors, Inc.",Non-governmental organizations,5,2,3
Rocky Mountain Institute,Non-governmental organizations,7,2,5
Rosa-Luxemburg-Stiftung - Gesellschaftsanalye und politische Bildung e.V.,Non-governmental organizations,12,3,9
Rural Development Institute,Non-governmental organizations,1,0,1
Rural Women Energy Security Ltd/Gte,Non-governmental organizations,4,3,1
Sabanci University,Non-governmental organizations,2,2,0
Saint Francis Xavier University,Non-governmental organizations,1,1,0
Saint John’s University,Non-governmental organizations,12,8,4
Sasakawa Peace Foundation,Non-governmental organizations,7,3,4
Sauvons Le Climat,Non-governmental organizations,2,2,0
Science Museum of Minnesota,Non-governmental organizations,1,1,0
Scientific Committee on Antarctic Research,Non-governmental organizations,10,8,2
"SDSN Association, Inc.",Non-governmental organizations,6,2,4
Seas at Risk,Non-governmental organizations,5,2,3
SeaTrust Institute,Non-governmental organizations,2,0,2
Seoul International Law Academy,Non-governmental organizations,2,1,1
Sequoia Foundation,Non-governmental organizations,2,2,0
Servicios en Comunicación Intercultural,Non-governmental organizations,2,2,0
Shan Shui Conservation Center,Non-governmental organizations,4,1,3
Shandong Society for Sustainable Development,Non-governmental organizations,1,0,1
Shinji Shumeikai,Non-governmental organizations,3,1,2
Sierra Club,Non-governmental organizations,4,3,1
Sierra Club Canada,Non-governmental organizations,1,0,1
"SILVA, Arbres, Forêts et Sociétes",Non-governmental organizations,3,3,0
Sjoham Baabaji Mission,Non-governmental organizations,1,0,1
Slow Food,Non-governmental organizations,1,0,1
Small and Medium Scale Entrepreneurship Fundamentals Foundation,Non-governmental organizations,3,3,0
SNV Netherlands Development Organisation,Non-governmental organizations,6,4,2
SOAS University of London,Non-governmental organizations,5,4,1
Sociedade Pesquisa em Vida Salvagem e Educacao Ambiental,Non-governmental organizations,3,1,2
Società Italiana per le Scienze del Clima,Non-governmental organizations,9,5,4
Society for Development and Community Empowerment,Non-governmental organizations,6,5,1
Society for Threatened Peoples International,Non-governmental organizations,1,0,1
Society of Catholic Medical Missionaries,Non-governmental organizations,3,0,3
Society of Entrepreneurs and Ecology Foundation,Non-governmental organizations,3,1,2
Solar Cookers International,Non-governmental organizations,2,1,1
Solar Impulse Foundation,Non-governmental organizations,3,2,1
Solutions From The Land,Non-governmental organizations,4,4,0
South-South Global Assets and Technology Exchange,Non-governmental organizations,4,3,1
Southern African Confederation of Agricultural Unions,Non-governmental organizations,2,2,0
SouthSouthNorth Projects Africa,Non-governmental organizations,5,3,2
Stand,Non-governmental organizations,3,2,1
Stichting Climate Action Network South Asia,Non-governmental organizations,9,4,5
Stichting Hivos (Humanistisch Instituut voor Ontwikkelingssamenwerk ing),Non-governmental organizations,5,1,4
"Stichting Partnership on Sustainable, Low Carbon Transport (SLoCaT) Foundation",Non-governmental organizations,4,1,3
Stichting Wageningen Research,Non-governmental organizations,7,4,3
Stiftung Mercator Foundation,Non-governmental organizations,1,0,1
Stockholm Environment Institute,Non-governmental organizations,8,4,4
Stockholm International Water Institute,Non-governmental organizations,8,7,1
Stockholm University,Non-governmental organizations,11,5,6
Stop Climate Chaos Scotland,Non-governmental organizations,4,2,2
Student Energy,Non-governmental organizations,4,1,3
Sustainable Amazonas Foundation,Non-governmental organizations,4,3,1
Sustainable Business Australia,Non-governmental organizations,4,3,1
Sustainable Energy for All Association for sustainable Energy,Non-governmental organizations,4,2,2
Sustainable Environmental Development Watch,Non-governmental organizations,3,2,1
Sustainable Harvest International,Non-governmental organizations,2,1,1
Sustainable Markets Foundation - 350.org,Non-governmental organizations,34,18,16
Sustainable Population Australia Inc.,Non-governmental organizations,8,6,2
SustainableEnergy,Non-governmental organizations,1,1,0
SustainUS,Non-governmental organizations,6,2,4
Swarthmore College,Non-governmental organizations,11,6,5
Swedish Society for Nature Conservation,Non-governmental organizations,5,2,3
Swedish University of Agricultural Sciences,Non-governmental organizations,3,2,1
Swiss Business Council for Sustainable Development,Non-governmental organizations,3,3,0
Swisscontact,Non-governmental organizations,1,1,0
Taiwan Carbon Capture Storage and Utilization Association,Non-governmental organizations,8,7,1
Taiwan Institute for Sustainable Energy,Non-governmental organizations,15,5,10
Taiwan Research Institute,Non-governmental organizations,12,9,3
TakingITGlobal,Non-governmental organizations,15,6,9
Tamaynut,Non-governmental organizations,2,2,0
TaxCOOP,Non-governmental organizations,2,0,2
Tearfund,Non-governmental organizations,10,5,5
Tebtebba Foundation,Non-governmental organizations,4,1,3
Technical University of Denmark,Non-governmental organizations,8,4,4
Technology Education Research and Rehabilitation for Environment Policy Centre,Non-governmental organizations,1,1,0
Telecommunication and Transportation Foundation,Non-governmental organizations,2,2,0
Texas Impact Education Fund doing business as the Texas Interfaith Center for Public Policy,Non-governmental organizations,7,1,6
The Australia Institute Ltd.,Non-governmental organizations,1,1,0
"The B Team Headquarters, Inc.",Non-governmental organizations,2,0,2
The Carbon Institute,Non-governmental organizations,11,7,4
The Carbon Trust,Non-governmental organizations,5,4,1
The Catholic Agency for Overseas Development,Non-governmental organizations,3,3,0
The Climate Group,Non-governmental organizations,12,2,10
The Climate Reality Project,Non-governmental organizations,8,7,1
The Climate Registry,Non-governmental organizations,10,4,6
The Corner House,Non-governmental organizations,2,1,1
The Danish Family Planning Association,Non-governmental organizations,2,0,2
The Energy and Resources Institute,Non-governmental organizations,6,3,3
The Fairtrade Foundation,Non-governmental organizations,1,1,0
The Federation for Associations Connected to the International HUMANA PEOPLE TO PEOPLE Movement,Non-governmental organizations,7,2,5
The Gaia Foundation,Non-governmental organizations,2,1,1
The Gold Standard Foundation,Non-governmental organizations,8,4,4
The Green Initiative,Non-governmental organizations,3,3,0
The Institute of Environmental Management and Assessment,Non-governmental organizations,5,4,1
The Interfaith Center for Sustainable Development,Non-governmental organizations,8,4,4
The Japan Gas Association,Non-governmental organizations,3,3,0
The Kenya Climate Change Working Group Association,Non-governmental organizations,2,1,1
"The Mountain Institute, Inc.",Non-governmental organizations,4,0,4
The National Farmers Union,Non-governmental organizations,5,3,2
The Nature Conservancy,Non-governmental organizations,23,8,15
The Ocean Foundation,Non-governmental organizations,3,2,1
The Rockefeller Foundation,Non-governmental organizations,2,1,1
The Rockies Institute Ltd,Non-governmental organizations,2,0,2
The Stanley Foundation,Non-governmental organizations,3,2,1
The University of Arizona,Non-governmental organizations,6,4,2
The University of British Columbia,Non-governmental organizations,2,1,1
The University of Manchester,Non-governmental organizations,3,3,0
The University of Sheffield,Non-governmental organizations,9,3,6
The V.I. Vernadsky Nongovernmental Ecological Foundation,Non-governmental organizations,3,1,2
The Woods Hole Research Center,Non-governmental organizations,6,2,4
Third Generation Environmentalism,Non-governmental organizations,3,1,2
Third World Network,Non-governmental organizations,9,2,7
Tianda Institute,Non-governmental organizations,12,6,6
Transparency International,Non-governmental organizations,10,6,4
Transport Research Foundation,Non-governmental organizations,3,1,2
Trustees of the University of Pennsylvania,Non-governmental organizations,8,4,4
Trustees of Tufts College,Non-governmental organizations,12,3,9
"Tsinghua University, Global Climate Change Institute",Non-governmental organizations,6,3,3
Turkish Industry and Business Association,Non-governmental organizations,4,1,3
U.S. Climate Action Network,Non-governmental organizations,14,4,10
UNEP - Finance Initiative,Non-governmental organizations,5,4,1
UNICA - Brazilian Sugarcane Industry Association,Non-governmental organizations,2,0,2
Unidad Nacional de Asociaciones de Ingenieros A.C.,Non-governmental organizations,1,1,0
Unión de Industriales para Saneamiento Cuencas Matanza Riachuelo y Reconquista,Non-governmental organizations,5,3,2
Union of Concerned Scientists,Non-governmental organizations,6,3,3
Union of the Electricity Industry,Non-governmental organizations,4,1,3
Unitarian Universalist Association,Non-governmental organizations,4,1,3
United Church of Canada,Non-governmental organizations,3,1,2
United Kingdom Youth Climate Coalition Limited,Non-governmental organizations,7,3,4
United Methodist Church - General Board of Church and Society,Non-governmental organizations,4,3,1
United Mine Workers of America,Non-governmental organizations,3,1,2
United Nations Foundation,Non-governmental organizations,7,3,4
United Nations of Youth Network,Non-governmental organizations,3,2,1
United States Council for International Business,Non-governmental organizations,1,0,1
Universidad de Barcelona,Non-governmental organizations,1,0,1
Universidad de las Islas Baleares,Non-governmental organizations,1,1,0
Universidad Politécnica de Cataluña,Non-governmental organizations,11,6,5
Université Cadi Ayyad de Marrakech,Non-governmental organizations,1,0,1
Université de Brest,Non-governmental organizations,2,0,2
Université de Liège,Non-governmental organizations,8,2,6
Université de Montréal,Non-governmental organizations,2,2,0
Université de Sherbrooke,Non-governmental organizations,9,2,7
Université Laval,Non-governmental organizations,1,1,0
Université Libre de Bruxelles,Non-governmental organizations,7,0,7
University College London,Non-governmental organizations,9,4,5
University Corporation for Atmospheric Research,Non-governmental organizations,11,6,5
"University Luigi Bocconi, Institute of Energy and Environment Economics and Policy",Non-governmental organizations,4,2,2
University of Zurich,Non-governmental organizations,7,6,1
University of Adelaide,Non-governmental organizations,2,2,0
University of Antwerp,Non-governmental organizations,8,5,3
University of Applied Sciences Cologne,Non-governmental organizations,2,1,1
University of Calgary,Non-governmental organizations,4,1,3
University of California,Non-governmental organizations,40,16,24
University of Cambridge,Non-governmental organizations,10,2,8
University of Cape Town,Non-governmental organizations,1,0,1
University of Colorado at Boulder,Non-governmental organizations,6,2,4
University of Connecticut,Non-governmental organizations,12,3,9
University of Copenhagen,Non-governmental organizations,2,1,1
University of East Anglia,Non-governmental organizations,4,2,2
University of Eastern Finland,Non-governmental organizations,2,1,1
University of Edinburgh,Non-governmental organizations,6,3,3
University of Exeter,Non-governmental organizations,3,2,1
"University of Freiburg, Institute of Forest and Environmental Policy",Non-governmental organizations,3,1,2
University of Genoa,Non-governmental organizations,2,0,2
University of Hamburg,Non-governmental organizations,5,4,1
University of Hawaii,Non-governmental organizations,8,1,7
University of Heidelberg,Non-governmental organizations,6,4,2
University of Helsinki,Non-governmental organizations,1,0,1
University of Illinois,Non-governmental organizations,2,1,1
University of Leeds,Non-governmental organizations,4,2,2
University of Linköping,Non-governmental organizations,9,4,5
University of Maryland,Non-governmental organizations,6,3,3
University of Melbourne,Non-governmental organizations,2,2,0
University of Michigan,Non-governmental organizations,13,3,10
University of Minnesota,Non-governmental organizations,12,3,9
University of Nijmegen,Non-governmental organizations,5,2,3
University of North Carolina,Non-governmental organizations,8,2,6
University of Oslo,Non-governmental organizations,2,1,1
University of Oxford,Non-governmental organizations,10,4,6
University of Reading,Non-governmental organizations,8,2,6
University of Southern Denmark,Non-governmental organizations,2,0,2
"University of St. Gallen, Institute for Economy and the Environment",Non-governmental organizations,1,1,0
University of Sussex - Sussex Energy Group,Non-governmental organizations,3,1,2
University of Technology Malaysia,Non-governmental organizations,3,3,0
University of Texas at Austin,Non-governmental organizations,5,4,1
University of Tokyo,Non-governmental organizations,9,2,7
University of Toronto,Non-governmental organizations,10,2,8
University of Vermont,Non-governmental organizations,2,1,1
University of Washington,Non-governmental organizations,2,0,2
University of Waterloo,Non-governmental organizations,11,3,8
Uppsala University,Non-governmental organizations,10,5,5
urgewald e.V.,Non-governmental organizations,4,0,4
Vanderbilt University,Non-governmental organizations,12,4,8
Vasudha Foundation,Non-governmental organizations,1,1,0
Vermont Law School,Non-governmental organizations,4,3,1
Verra,Non-governmental organizations,5,3,2
Victoria University Wellington,Non-governmental organizations,5,1,4
Vikalp,Non-governmental organizations,3,3,0
Viracao Educommunication,Non-governmental organizations,13,7,6
Virginia Polytechnic Institute and State University,Non-governmental organizations,6,4,2
"Vitae Civilis Institute for Development, Environment and Peace",Non-governmental organizations,23,11,12
Vivre en Ville,Non-governmental organizations,1,1,0
Wageningen University,Non-governmental organizations,6,1,5
Washington University,Non-governmental organizations,21,5,16
Water Safety Initiative Foundation,Non-governmental organizations,1,1,0
Welthungerhilfe,Non-governmental organizations,2,1,1
Wetlands International,Non-governmental organizations,5,2,3
Widener University,Non-governmental organizations,2,1,1
Wildlife Conservation Society,Non-governmental organizations,7,5,2
WindEurope,Non-governmental organizations,7,6,1
Windward Fund,Non-governmental organizations,5,3,2
Winrock International,Non-governmental organizations,9,5,4
Women Engage for a Common Future,Non-governmental organizations,14,2,12
Women Environmental Programme,Non-governmental organizations,9,3,6
Women Organizing for Change in Agriculture and Natural Resource Management,Non-governmental organizations,3,0,3
Women’s Earth and Climate Caucus,Non-governmental organizations,7,0,7
Women’s Environment and Development Organization,Non-governmental organizations,48,6,42
Women’s International League for Peace and Freedom,Non-governmental organizations,4,0,4
World Alliance of Young Men’s Christian Associations,Non-governmental organizations,16,7,9
World Bioenergy Association,Non-governmental organizations,6,6,0
World Business Council for Sustainable Development,Non-governmental organizations,34,25,9
World Coal Association,Non-governmental organizations,1,1,0
World Conference of Religions for Peace,Non-governmental organizations,1,0,1
World Council of Churches,Non-governmental organizations,11,6,5
World Economic Forum,Non-governmental organizations,5,1,4
World Energy Council,Non-governmental organizations,2,2,0
World Evangelical Alliance,Non-governmental organizations,6,2,4
World Farmers’ Organisation,Non-governmental organizations,45,23,22
World Federation of Engineering Organizations,Non-governmental organizations,5,3,2
World Future Council,Non-governmental organizations,4,1,3
"World Green Building Council, Inc.",Non-governmental organizations,3,1,2
World Medical Association,Non-governmental organizations,6,4,2
World Ocean Council,Non-governmental organizations,1,1,0
World Ocean Network,Non-governmental organizations,3,2,1
World Organization of the Scout Movement,Non-governmental organizations,1,1,0
World Resources Institute,Non-governmental organizations,28,14,14
World Steel Association,Non-governmental organizations,2,1,1
World Union of Small and Medium Enterprises,Non-governmental organizations,2,2,0
World Water Council,Non-governmental organizations,2,1,1
World Wind Energy Association,Non-governmental organizations,1,1,0
Worldwatch Institute,Non-governmental organizations,2,1,1
"Wuppertal Institute for Climate, Environment and Energy",Non-governmental organizations,10,7,3
WWF,Non-governmental organizations,82,40,42
Yale Student Environmental Coalition,Non-governmental organizations,23,7,16
Yale University,Non-governmental organizations,10,8,2
York University,Non-governmental organizations,13,8,5
Young Energy Specialists - Development Cooperation,Non-governmental organizations,8,3,5
Young Power in Social Action,Non-governmental organizations,1,1,0
Zhenjiang Green Sanshan Environmental Public Welfare Service Center,Non-governmental organizations,3,1,2
ZOI Environment Network,Non-governmental organizations,2,2,0