iso,doc_name,doc_type,X1,X2,X3,X4,X5,X6,X7,X8,X9,top_topic
AGO,AGO-revised_first_ndc-EN.html,NDC,0.008943290552342782,0.13120867524745228,0.3158612411449857,0.3506436300894317,0.025897072287453037,0.008922741250385068,0.08846652174907843,0.0022183638024725217,0.0678384638763986,4
ALB,ALB-revised_first_ndc-EN.html,NDC,3.606217512134466e-5,2.102714384273897e-4,6.643932968898974e-6,0.998645135022825,3.671891667269965e-4,1.0928553883454863e-5,2.093464927754445e-4,1.559985193906121e-5,4.988233653321723e-4,4
AND,AND-revised_first_ndc-EN_TR.html,NDC,0.042674147732519485,0.008301609854179152,0.018575333870573446,0.06318459502584929,0.0017867310924984028,0.5829828213292979,0.2772217751834317,0.0015155676331727627,0.003757418278477861,6
ARM,ARM-revised_first_ndc-EN.html,NDC,0.10233447372842451,0.2590649443931539,0.06741496802342245,0.03382588843763918,0.45353529434944906,0.005822778445438247,0.0026010705905433725,0.005968622269138925,0.06943195976279033,5
ATG,ATG-revised_first_ndc-EN.html,NDC,1.8688903425676982e-4,1.5276266739266606e-4,3.030230420011072e-4,8.528494198504871e-4,0.9970550275782456,6.863600169090128e-4,5.421202130987371e-5,2.467189832881606e-4,4.6215723674660473e-4,5
AUS,AUS-archived_revised_first_ndc-EN.html,NDC,0.005002145686512728,0.008072473911568612,0.004228854498123839,0.007913518948920737,0.06981442506129487,0.04437822034705698,0.001235750795743557,0.85460594370829,0.00474866704248842,8
AUS,AUS-revised_first_ndc-EN.html,NDC,6.15142209572373e-4,0.0010800939139642444,6.906982508586593e-4,0.0013545134114931914,0.5414325974849105,8.263347976036556e-4,1.4868461488037933e-4,0.4532984655626281,5.534697540888476e-4,5
AUT,AUT-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
BEL,BEL-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
BGD,BGD-archived_revised_first_ndc-EN.html,NDC,0.014378632083868435,0.026492789274894145,0.03056998546666955,0.015245059973977406,0.016208902272839474,0.12380669450484322,0.003161478965309831,0.69773204641831,0.07240441103928788,8
BGD,BGD-revised_first_ndc-EN.html,NDC,0.00244000326984457,0.13614934991538832,0.003608190249802201,0.13727735117622633,0.11980878551429806,0.00126225061231713,3.927097657980516e-4,0.4046663962639994,0.19439496323232594,8
BGR,BGR-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
BHR,BHR-revised_first_ndc-EN.html,NDC,0.003930217595163011,0.18416529384209948,0.0037885433922322897,0.37620085266709336,0.021591052664053687,0.01762163447039363,0.16138328765858828,0.2276926087927006,0.0036265089176752132,4
BIH,BIH-revised_first_ndc-EN.html,NDC,0.05793605791827313,0.18065935286344437,0.025482568061474597,0.28995841008843404,0.006906624344674154,0.24496975507041693,0.009139369683333327,0.01177796920937435,0.17316989276057498,4
BLR,BLR-revised_first_ndc-EN.html,NDC,0.3542256871244228,0.5919492523456517,0.005904709173044268,0.016954617241329576,0.0067024292968332995,0.006025402358148739,6.369425241594929e-4,0.006201171500556659,0.01139978843585396,2
BLZ,BLZ-revised_first_ndc-EN.html,NDC,0.04412209817255545,0.00404776310414373,0.0012402088129606264,0.452050392557784,0.2453720431635236,0.0010507150907399481,3.7698534258828926e-4,0.10916734358223115,0.1425724501734732,4
BRA,BRA-revised_first_ndc-EN.html,NDC,0.038801828551867416,0.005791683397844704,0.018811923167628995,0.017448139718642897,0.8812173167195781,0.0017458392774720437,7.971707274177989e-4,0.0021363116968232737,0.033249786742724725,5
BRB,BRB-revised_first_ndc-EN.html,NDC,0.003726815259787483,0.27460979277806236,0.04513727646100928,0.2865673189168069,0.2963001636544835,0.013198071671204402,0.012261001146659897,0.0547447751707826,0.013454784941203744,5
CAN,CAN-revised_first_ndc-EN.html,NDC,1.727190209440867e-4,0.00123146404802818,9.458332402488564e-4,0.0036808508314525408,0.23304078551415355,0.001144220097405017,0.02868563808974063,0.7308714887062007,2.2700045182686655e-4,8
CHE,CHE-archived_revised_first_ndc-EN.html,NDC,3.874042559067607e-4,7.597707570137618e-4,5.037886249597535e-4,0.0023129750600788526,0.9939929091837398,1.6625153144581142e-4,1.3851325358945374e-4,0.0011136036513369684,6.247836819291065e-4,5
CHE,CHE-revised_first_ndc-EN.html,NDC,3.969793240915734e-4,7.826253944174646e-4,5.170074016205256e-4,0.002378146817719505,0.9938191165044679,1.7231980250694695e-4,1.4284038366806198e-4,0.0011495007985933181,6.41463572914459e-4,5
CHL,CHL-revised_first_ndc-EN.html,NDC,5.490615704757593e-4,0.0815401826745951,0.001165963467670031,0.11892034847233925,0.025867042998757795,0.004533616635057499,0.7626504605280009,0.004193739442470047,5.795842106336482e-4,7
CHN,CHN-revised_first_ndc-EN.html,NDC,0.001279954814850754,0.7214808202554621,0.050281326297996205,0.0313737039179849,0.0025461391814427976,0.05703116689653319,7.162149891497471e-4,0.1033369050469558,0.03195376859962455,2
COG,COG-revised_first_ndc-EN_TR.html,NDC,4.954957443996347e-4,8.752725464869843e-4,7.105218305544384e-4,0.8964412552498783,8.248689807261008e-4,3.3152763655991424e-4,0.034089653159720096,1.4413459517600714e-4,0.06608727025649856,4
COL,COL-revised_first_ndc-EN_TR.html,NDC,5.2922321027515815e-5,2.6734335467030627e-4,4.981657080885354e-4,0.07880530114169347,1.275446474765076e-4,1.7386339324534583e-4,0.9187814134945341,5.331023228162042e-5,0.0012401357069828861,7
CPV,CPV-revised_first_ndc-EN.html,NDC,0.017764139428764304,0.4657215816887342,7.523788109023562e-4,0.2943565024253088,3.9652335798549837e-4,0.15319922328158628,5.414657618922669e-4,5.796400913850782e-4,0.06668854515344116,2
CRI,CRI_revised_first_ndc-EN_TR.html,NDC,0.002748067300327731,0.009391214780485031,0.12841672219410796,0.15613629308209873,0.1198166950700804,0.00757728047257289,0.5642907669594054,0.00535349864443968,0.006269461496482159,7
CRI,CRI-revised_first_ndc-EN_TR.html,NDC,4.1297065556184875e-4,9.253069670202424e-4,0.1921895454535076,0.06653300946370848,0.12362924874632845,5.209275983657543e-4,0.6143812689080419,3.007502040042389e-4,0.0011069720034613383,7
CUB,CUB-revised_first_ndc-EN_TR.html,NDC,0.0023482668545925455,0.2159018267846807,0.06023448775101435,0.34573182077504183,0.005916499634847394,0.004483101018318726,0.3452733387030322,0.0026216070726769454,0.01748905140579534,4
CYP,CYP-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
CZE,CZE-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
DEU,DEU-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
DNK,DNK-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
DOM,DOM-revised_first_ndc-EN_TR.html,NDC,0.009193110063338976,0.0029016699604481094,0.004160430804744581,0.2017351606514955,0.058343126574998294,4.0135308192550004e-4,0.7218335472569031,4.3506143223100916e-4,9.96540173914992e-4,7
ESP,ESP-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
EST,EST-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
EUU,EUU-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
FIN,FIN-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
FJI,FJI-revised_first_ndc-EN.html,NDC,0.002685031361119813,0.11151153786392252,0.0010625681132284419,0.34397296170531166,0.5215791345058868,0.001044521747111694,0.002383535223349273,0.009541178143554329,0.006219531336516006,5
FRA,FRA-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
GBR,GBR-revised_first_ndc-EN.html,NDC,5.761603773340736e-4,0.0027289944023580425,9.58663147693332e-4,0.002450346360149669,0.48727545336187905,0.00250985616814967,4.5566911133196656e-4,0.5023373706106603,7.07486460444162e-4,8
GEO,GEO-revised_first_ndc-EN.html,NDC,8.591419484771e-4,0.42384363249357615,1.8866851670495808e-4,0.5402573744536743,0.03067309713916135,4.306421116048538e-4,7.655852912623201e-4,5.506752524910016e-4,0.002431182793047499,4
GHA,GHA-revised_first_ndc-EN.html,NDC,0.0370256753138114,0.5577897880302358,0.006016774426882839,0.009701837647828938,0.134762243260869,7.178786134883655e-4,5.315772158111932e-5,0.018332386208855602,0.23560025877644686,2
GIN,GIN-revised_first_ndc-EN_TR.html,NDC,0.026557240357690248,0.5495150646469736,0.004475795749041456,0.25783601957438906,0.0017932795412141547,0.017017187897045944,0.04233249993000824,7.181487506762446e-4,0.09975476355296103,2
GNB,GNB-revised_first_ndc-EN.html,NDC,9.120627481966466e-4,0.24713887703253418,0.0015760462289849838,0.30468279145986893,0.2770487181778256,0.0017752802261450703,0.1633185780242399,0.0010333485089177457,0.0025142975932871963,4
GRC,GRC-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
HND,HND-revised_first_ndc-EN_TR.html,NDC,7.976475819995003e-5,4.429093635236793e-4,0.0019657618670912203,0.2559591478632445,0.06616005810370403,1.2298596290640334e-4,0.674734961917325,9.423521850845052e-5,4.4017494549695004e-4,7
HRV,HRV-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
HUN,HUN-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
IDN,IDN-revised_first_ndc-EN.html,NDC,0.0013502363775414724,0.16386721795378137,0.3148392396441986,0.29344010336605453,0.15554411353788578,8.321961610759699e-4,0.059647628520911156,0.0011224527417213223,0.009356811696830251,3
IRL,IRL-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
ISL,ISL-revised_first_ndc-EN.html,NDC,4.1999262319985267e-4,5.598619324861063e-4,4.17077305659966e-4,0.0017081265560966845,0.9952915840164124,1.2977518781674132e-4,9.890716960902433e-5,8.496839879260371e-4,5.249912207929542e-4,5
ISR,ISR-revised_first_ndc-EN.html,NDC,0.001812939353891377,0.12593047594448412,0.0031024392181991417,0.10661252994472667,0.7517699745212573,0.0018168883267345175,0.002641893346882399,0.0034156341206045574,0.0028972252232195295,5
ITA,ITA-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
JAM,JAM-revised_first_ndc-EN.html,NDC,0.009630116041261677,0.03421639371267426,0.009752577663164941,0.040832017598606024,0.7840484034983014,0.04966732039034267,0.04796840429254929,0.018680494757718488,0.005204272045380964,5
JOR,JOR-revised_first_ndc-EN.html,NDC,0.005979056499237184,0.09846840631892692,3.9461005662639004e-4,0.8116086080345789,0.023300471420888036,0.0030756204563468325,0.0010176397179364298,0.03235531423216007,0.023800273263298838,4
JPN,JPN-revised_first_ndc-EN.html,NDC,0.0012532534264504422,0.4974785444283538,0.07820766248020675,0.0032845981586550523,0.41319623074565026,0.0013665853900756073,0.0015452734537482167,0.002148714631500356,0.0015191372853593625,2
KEN,KEN-revised_first_ndc-EN.html,NDC,5.753649827063144e-5,3.349287040364451e-4,1.6627826770600338e-5,0.9856192463116443,0.012895693401849687,1.296502539500754e-5,2.94445872003548e-4,4.216154204732944e-5,7.263948179826383e-4,4
KGZ,KGZ-revised_first_ndc-EN.html,NDC,0.09250193703638192,0.40741450515734035,0.08840091760287946,0.3296999050077536,0.04578549913785087,6.905936130095881e-4,8.872470895369523e-4,4.954605401659486e-4,0.03412393481508144,2
KHM,KHM-revised_first_ndc-EN.html,NDC,5.6882379200340136e-5,1.4302819727378097e-5,2.0935534847786494e-5,1.220653066194738e-4,2.4847754517221886e-5,6.881369346482516e-7,8.345428749512625e-9,7.856864520953158e-6,0.9997524128582035,9
KNA,KNA-revised_first_ndc-EN.html,NDC,5.428114527296731e-4,9.756963944866735e-4,1.46862798320906e-4,0.9388285821159633,0.04453698317616259,4.758931607475746e-5,3.538199545653809e-4,1.5811427798919636e-4,0.014409540513707308,4
KOR,KOR-archived_revised_first_ndc-EN.html,NDC,9.72876470988277e-4,0.11267195833083155,0.0011098486952939206,0.005142712633954645,0.8292435572924248,0.0015552059982470651,4.5727233512748256e-4,0.047820903215018216,0.0010256650281136007,5
KOR,KOR-revised_first_ndc-EN.html,NDC,0.0014338999615548882,0.0703952966741007,0.001693435048747107,0.07409141418630741,0.7963747855773374,0.04600103149601846,0.005444411621287578,0.0023349599868742474,0.002230765447771788,5
KWT,KWT-revised_first_ndc-EN.html,NDC,0.004813985729377248,0.06662644210420612,0.0415286278364417,0.21908669905654876,0.41149093994007185,0.22178210554250685,0.022535235569861867,0.004405145812063987,0.007730818408921223,5
LAO,LAO-revised_first_ndc-EN.html,NDC,0.0755624678379078,0.011330024988843631,0.003407685943975821,0.2330974077350913,0.004240902260464527,7.932011953844467e-4,3.7035499270313946e-4,0.061839308859356804,0.6093586461862726,9
LBN,LBN-revised_first_ndc-EN.html,NDC,0.001992669174250632,0.033673578082961675,0.0021862764111314132,0.7743122429050406,0.11083859845190112,0.05291289516621464,0.005264754958432682,0.0019608844254169165,0.016858100424649823,4
LBR,LBR-revised_first_ndc-EN.html,NDC,0.01638900535493332,0.2864935792048174,4.8826591378189633e-4,0.20893523329409047,0.1000657900017023,2.0303326300912094e-4,9.044452391911542e-5,4.06694077844371e-4,0.3869279543659021,9
LCA,LCA-revised_first_ndc-EN.html,NDC,0.027658290617791532,0.006063249762573783,0.00817952966727218,0.11871503255547124,0.6376574214813505,0.0024230501539662724,9.658944879621977e-4,0.05970071611144032,0.13863681516217202,5
LKA,LKA-revised_first_ndc-EN.html,NDC,0.0028129442323564873,0.14888216258932063,0.042118554899433384,0.3517589243383774,0.024359577713400714,0.0021387181956264607,9.08280045300015e-4,0.10639876371789518,0.32062207426828976,4
LTU,LTU-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
LUX,LUX-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
LVA,LVA-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
MAR,MAR-revised_first_ndc-EN_TR.html,NDC,0.0020238587882283102,0.11225980869468635,0.018370108271395603,0.1908646385551374,0.053280540589550444,0.10426610181935995,0.4478653422069597,0.0016391963583850542,0.06943040471629726,7
MCO,MCO-revised_first_ndc-EN_TR.html,NDC,0.0018004090758954162,0.07340554788687996,0.0016202660475403976,0.09184607254482667,0.0012408303055612723,0.7961946224952783,0.005661107692635015,0.02163884183791076,0.0065923021134719805,6
MDA,MDA-revised_first_ndc-EN.html,NDC,2.0607674248814486e-5,1.7453939626161134e-4,3.0674957242725566e-6,0.9993069970523252,1.0476151739599239e-4,6.21040745832673e-6,1.3733174062268658e-4,7.417429345043492e-6,2.3906728661777767e-4,4
MDV,MDV-revised_first_ndc-EN.html,NDC,0.03401131331606014,0.018293584407474126,0.0012035533882030064,0.22973622158683268,0.6687159833188605,0.008899641064387767,8.841282014661128e-4,0.006083725756670908,0.03217184896004476,5
MEX,MEX-revised_first_ndc-EN.html,NDC,2.2470012951560396e-4,0.0017661251812164307,0.001021170320147395,0.2468793133932475,0.2475855534708073,8.38310022027086e-4,0.5005270520636722,3.875260135911964e-4,7.702494057752286e-4,7
MHL,MHL-revised_second_ndc-EN.html,NDC,0.005859138940774987,0.4418958896887426,0.0057261403327755235,0.03301520897989922,0.014274910182640843,0.015053704452761555,0.003055560891626515,0.47423221315376857,0.006887233377010317,8
MKD,MKD-revised_first_ndc-EN.html,NDC,0.18063410564168667,0.26946065023265325,0.0012200035791766607,0.04397567845676972,0.48980927784496536,0.002648131763771375,0.0013048686535107677,0.008937651657010449,0.0020096321704556903,5
MLT,MLT-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
MMR,MMR-revised_first_ndc-EN.html,NDC,5.676648238817288e-4,0.667977749433672,3.763962413658298e-4,0.016958837242172363,0.009081308769381454,6.17420753734399e-5,1.59094598277955e-5,1.9570020734683614e-4,0.3047646917469785,2
MNE,MNE-revised_first_ndc-EN.html,NDC,0.10778322218052101,0.009634429412772065,0.012230214820896021,0.45322542228032536,0.20667564818851733,0.19188852371156687,0.005113836861317648,0.0044108581519803035,0.009037844392103634,4
MNG,MNG-revised_first_ndc-EN.html,NDC,0.0034977843540562807,0.010200860162898107,7.451440176127857e-4,0.809587314360164,0.003865614520558794,0.08451600644323806,0.004681669513065143,0.0786540074108812,0.004251599217525291,4
MUS,MUS-revised_first_ndc-EN.html,NDC,0.002081608241627271,0.011413653489573504,0.0986489202843513,0.31065229112953374,0.406470494567861,2.7869121382520973e-4,0.0010542793567863617,6.652376801943255e-4,0.16873482403624745,5
MWI,MWI-revised_first_ndc-EN.html,NDC,0.30363896085227154,1.984338681092224e-4,0.0045878987430283714,6.309932502863079e-4,6.799298735914264e-4,6.653461344051717e-5,9.217830202991033e-7,9.25875122396045e-5,0.6901037395040127,9
MYS,MYS-revised_first_ndc-EN.html,NDC,0.0022125319821168924,0.022243437947564063,0.0019196621563240435,0.3221705902660672,0.5840052796398604,9.999668176066904e-4,0.0013585264033598504,0.003774683292589607,0.06131532149451123,5
NAM,NAM-revised_first_ndc-EN.html,NDC,0.05353795743761597,0.10948131898028987,0.0014623418960272839,0.30532055058315016,0.017749186822303985,0.0030412049811437063,0.056458874119760645,0.006903281515645656,0.4460452836640627,9
NIC,NIC-revised_first_ndc-EN_TR.html,NDC,7.957623724123406e-4,0.006196269928111341,0.40454179118083994,0.1753924811925099,0.0035439214769574074,8.225991900564777e-4,0.40588868826425795,5.208128826985638e-4,0.0022976735121561036,7
NLD,NLD-revised_first_ndc-EN.html,NDC,1.5853582395410092e-4,2.535066294434609e-4,1.9662554056328177e-4,8.493209636220526e-4,0.997868013317903,4.494537335264218e-5,4.661988858503027e-5,3.4293125995505964e-4,2.3950120262140515e-4,5
NOR,NOR-revised_first_ndc-EN.html,NDC,0.008540226617100292,0.06189845265266564,0.0018381290493085214,0.011152274338839521,0.9049970126569604,0.0033396695444549993,6.875011819356266e-4,0.004442293841724147,0.0031044401170105254,5
NZL,NZL-revised_first_ndc-EN.html,NDC,0.012082284623702193,0.005270590581658744,0.003428878505408113,0.008309987348056385,0.3784611817285035,0.0035654323717951575,5.214815422795012e-4,0.5837758805270036,0.004584282771592272,8
