NSA_word,keep_match
company,
companies,
non-governmental,
nongovernmental,
subnational,
NGO,
businesses,
non-government,
investor,
organization,
city,
cities,
university,
universities,
corporation,
corporations,
investors,
NGOs,
institution,
organizations,
town,
municipality,
metropolis,
metropolitan,
district,
province,
territory,
county,
counties,
districts,
college,
colleges,
privatesect,
local government,
local governments,
non profit,
non-profit,
civil society,
science,
youth,
children,
women,
gender,
citizen,
local communities,
CSO,
bank,
MSME,
tourist,